location_name,blockgroup_id,distance
On W 71st St From S California Ave To S Maplewood Ave,'170316610005',0.1535
On W 71st St From S California Ave To S Maplewood Ave,'170316609002',0.051
On W 71st St From S California Ave To S Maplewood Ave,'170316610004',0.102
On W 71st St From S Homan Ave To S Kedzie Ave,'170316609003',0.405
On W 71st St From S Homan Ave To S Kedzie Ave,'170316611004',0.405
On W 77th St From S Wallace St To S Fielding Ave,'170316912001',0.177
On W Albion Ave From N Sayre Ave To N Nixon Ave,'170311002006',0.21
On W Division St From N North Branch St To N Hickory Ave,'170318422001',0.242
On W Howard St From N Oconto Ave To N Odell Ave,'170310901001',0.202
On W Lithuanian Plaza Ct From S California Ave To S Oakley Ave,'170316609003',0.403
On W Lithuanian Plaza Ct From S California Ave To S Oakley Ave,'170316609001',0.204
On W Lithuanian Plaza Ct From S California Ave To S Oakley Ave,'170316609002',0.204
On W Lithuanian Plaza Ct From S California Ave To S Oakley Ave,'170316607002',0.105
On W Lithuanian Plaza Ct From S California Ave To S Oakley Ave,'170316610001',0.105
On W North Ave From N Harlem Ave To N Sayre Ave,'170312505007',0.307
On W North Ave From N Harlem Ave To N Sayre Ave,'170312505003',0.161
On W North Ave From N Oak Park Ave To N Rutherford Ave,'170312505002',0.104
On W St James Pl From N Clark St To N Lakeview Ave,'170310701021',0.117
On W St James Pl From N Clark St To N Lakeview Ave,'170310701012',0.117
On N Parkside Ave From W Lake St To W Corcoran Pl,'170312514004',0.068
On S State St From W 725 To W Taylor St,'170318390003',0.242
