,location_name,blockgroup_id,status,distance,from_lat,from_long,to_lat,to_long
686,On E 94th St From S Woodlawn Ave To S Kimbark Ave,'170314701002',check,0.198813785,41.7240641,-87.5948225,41.72408,-87.592427
324,On E 95th Pl From S Calhoun Ave To S Oglesby Ave,'170315102001',check,0.183042414,41.721601,-87.562428,41.722577,-87.565904
325,On E 95th Pl From S Calhoun Ave To S Oglesby Ave,'170315102002',check,0.019448384,41.721601,-87.562428,41.722577,-87.565904
326,On E 95th Pl From S Calhoun Ave To S Oglesby Ave,'170315103001',check,0.105734372,41.721601,-87.562428,41.722577,-87.565904
3249,On E Bellevue Pl From N State St To N Rush St,'170310811001',check,0.000953115,41.901537,-87.628347,41.901554,-87.627896
3250,On E Bellevue Pl From N State St To N Rush St,'170310812013',check,0.036420285,41.901537,-87.628347,41.901554,-87.627896
3251,On E Congress Pkwy From S Wabash Ave To S Michigan Ave,'170313204001',check,0.209622653,41.875647,-87.626012,41.876949,-87.624181
1031,On N Ada St From N Ogden Ave To W Madison St,'170318330002',check,0.714594217,41.888011,-87.6610115,41.8815137,-87.6605694
1032,On N Ada St From N Ogden Ave To W Madison St,'170318331003',check,0.008800008,41.888011,-87.6610115,41.8815137,-87.6605694
937,On N Ada St From W Hubbard St To W Kinzie St,'170312434003',check,0.114086156,41.889962,-87.660865,41.888936,-87.660865
1582,On N Ashland Ave From W Wellington Ave To W Diversey Pkwy,'170310627002',check,0.198694844,41.9360246,-87.6685913,41.932443,-87.66832
1583,On N Ashland Ave From W Wellington Ave To W Diversey Pkwy,'170310626001',check,0.184867629,41.9360246,-87.6685913,41.932443,-87.66832
1584,On N Ashland Ave From W Wellington Ave To W Diversey Pkwy,'170310627003',check,0.015325635,41.9360246,-87.6685913,41.932443,-87.66832
3258,On N Caldwell Ave From N Nokomis Ave To N Le Mai Ave,'170311202004',check,0.003056774,41.9948333,-87.7614249,41.99405715,-87.75918675
3259,On N Caldwell Ave From N Nokomis Ave To N Le Mai Ave,'170311202002',check,0.201050807,41.9948333,-87.7614249,41.99405715,-87.75918675
3262,On N Central Ave From N Prescott To N Hennepin,'170311201003',check,0.230943613,41.992534,-87.765564,41.99365831,-87.76791362
1036,On N Central Park Ave From W Grand Ave To W Iowa St,'170312312001',check,0.061456683,41.902263,-87.716547,41.8972908,-87.716356
1037,On N Central Park Ave From W Grand Ave To W Iowa St,'170312311001',check,0.491653454,41.902263,-87.716547,41.8972908,-87.716356
3094,On N Cicero Ave From W Glenlake Ave To N Caldwell Ave,'170311202004',check,0.262989807,41.9914013,-87.7483308,41.9887537,-87.7483266
3095,On N Cicero Ave From W Glenlake Ave To N Caldwell Ave,'170311203004',check,0.031410501,41.9914013,-87.7483308,41.9887537,-87.7483266
3118,On N Elston Ave From N Luna Ave To N Lotus Ave,'170311101001',check,0.224935763,41.9842237,-87.7667881,41.98299495,-87.7646263
