,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
2311,[170 -04] 38342,On W North Ave From N Harlem Ave To N Sayre Ave,2017-2021,W North Ave And N Harlem Ave,W North Ave And N Sayre Ave,"[41.9088, -87.805665]","[41.909025, -87.800203]","[41.9088, -87.805665]",170312505003
2318,[170 -04] 38342,On W Forest Preserve Ave From N Olcott Ave To W Irving Park Rd,2017-2021,W Forest Preserve Ave And N Olcott Ave,W Forest Preserve Ave And W Irving Park Rd,"[41.950161, -87.814917]","[41.95273, -87.809453]",170311704004,"[41.95273, -87.809453]"
2360,[170 -04] 38342,On W Ogden Ave From S Millard Ave To S Central Park Ave,2017-2021,W Ogden Ave And S Millard Ave,W Ogden Ave And S Central Park Ave,"[41.8542447, -87.7160166]","[41.817949, -87.86978]",170318414002,"[41.817949, -87.86978]"
2365,[170 -04] 38342,On W North Ave From N Hamlin Ave To N Kimball Ave,2017-2021,W North Ave And N Hamlin Ave,W North Ave And N Kimball Ave,"[41.90373, -87.7214667499919]","[42.002811, -87.714248]",170312307003,"[42.002811, -87.714248]"
2367,[170 -04] 38342,On W Ibsen St From N Oriole Ave To N Harlem Ave,2017-2021,W Ibsen St And N Oriole Ave,W Ibsen St And N Harlem Ave,"[42.0060043, -87.8164539]","[42.006307, -87.80669]",170310902004,"[42.006307, -87.80669]"
2369,[170 -04] 38342,On W North Ave From N Nagle Ave To N Natoma Ave,2017-2021,W North Ave And N Nagle Ave,W North Ave And N Natoma Ave,"[41.909107, -87.786608]","[41.909139, -87.791091]","[41.909107, -87.786608]",170312505002
2426,[170 -04] 38342,2400-3140 S Kedzie Ave,2017-2021,2400 S Kedzie Ave,3140 S Kedzie Ave,"[41.847935, -87.70549]","[41.832996049857975, -87.70475466588586]",170313008002,170318305003
2447,[170 -04] 38342,2723-3100 S Archer Ave,2017-2021,2723 S Archer Ave,3100 S Archer Ave,"[41.843964, -87.652559]","[41.84267643320567, -87.65598818490578]",170318402001,170316006002
2461,[170 -04] 38342,3200-3236 S Lawndale Ave,2017-2021,3200 S Lawndale Ave,3236 S Lawndale Ave,"[41.83505, -87.717328]","[41.834076, -87.717214]",170318305003,170318305003
2474,[170 -04] 38342,On N Page Ave From W Irving Park Rd To W Addison St,2018-2022,N Page Ave And W Irving Park Rd,N Page Ave And W Addison St,"[41.95226, -87.82811]","[41.945001, -87.8279076]","[41.95226, -87.82811]",170311705004
2511,[170 -04] 38342,On N Damen Ave From W Howard St To W Jarvis Ave,2018-2022,N Damen Ave And W Howard St,N Damen Ave And W Jarvis Ave,"[42.019473, -87.68047]","[42.0151252, -87.6805309]","[42.019473, -87.68047]",170310102011
2522,[170 -04] 38342,On N Odell Ave From W Byron St To W Belmont Ave,2018-2022,N Odell Ave And W Byron St,N Odell Ave And W Belmont Ave,"[41.9506502, -87.8108634]","[41.93799, -87.810367]",170311704001,"[41.93799, -87.810367]"
2528,[170 -04] 38342,On S Archer Ave From S Senour Ave To S Halsted St,2018-2022,S Archer Ave And S Senour Ave,S Archer Ave And S Halsted St,"[41.8452769, -87.6506561]","[41.8472125, -87.6465235]",170318402001,170318402001
2534,[170 -04] 38342,On N Pioneer Ave From W Berteau Ave To W Irving Park Rd,2018-2022,N Pioneer Ave And W Berteau Ave,N Pioneer Ave And W Irving Park Rd,"[41.9558489, -87.8318321]","[41.9521744, -87.8316532]","[41.9558489, -87.8318321]","[41.9521744, -87.8316532]"
2535,[170 -04] 38342,On N Panama Ave From W Irving Park Rd To W Addison St,2018-2022,N Panama Ave And W Irving Park Rd,N Panama Ave And W Addison St,"[41.9522292, -87.8293724]","[41.944965, -87.82905]","[41.9522292, -87.8293724]",170311705004
2552,[170 -04] 38342,On N Osceola Ave From W Irving Park Rd To W Forest Preserve Ave,2018-2022,N Osceola Ave And W Irving Park Rd,N Osceola Ave And W Forest Preserve Ave,"[41.952637, -87.813402]","[41.951045, -87.812975]","[41.952637, -87.813402]",170311704004
