,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
3067,[170 -04] 39029,On W 77th St From S Wallace St To S Fielding Ave,2019-2023,W 77th St And S Wallace St,W 77th St And S Fielding Ave,"[41.754349, -87.639858]","[41.75436, -87.6377307]",170317101001,170316912003
3087,[170 -04] 39029,On W North Ave From N Hamlin Ave To N Kimball Ave,2019-2023,W North Ave And N Hamlin Ave,W North Ave And N Kimball Ave,"[41.90373, -87.7214667499919]","[42.002811, -87.714248]",170312307003,"[42.002811, -87.714248]"
3122,[170 -04] 39029,On W Forest Preserve Ave From N Olcott Ave To W Irving Park Rd,2019-2023,W Forest Preserve Ave And N Olcott Ave,W Forest Preserve Ave And W Irving Park Rd,"[41.950161, -87.814917]","[41.95273, -87.809453]",170311704004,"[41.95273, -87.809453]"
3187,[170 -04] 39743,On N Melvina Ave From W Foster Ave To W Balmoral Ave,2019-2023,N Melvina Ave And W Foster Ave,N Melvina Ave And W Balmoral Ave,"[41.975619, -87.783038]","[41.979288, -87.7835513]",170311103003,"[41.979288, -87.7835513]"
3249,[170 -04] 39743,On S Rockwell St From W 70th St To W 71st St,2019-2023,S Rockwell St And W 70th St,S Rockwell St And W 71st St,"[41.766445, -87.688205]","[41.764616, -87.688148]",170316609003,170316610004
3263,[170 -04] 39743,On S Albany Ave From W 71st St To W 73rd St,2019-2023,S Albany Ave And W 71st St,S Albany Ave And W 73rd St,"[41.764419, -87.700374]","[41.7607749, -87.7002706]",170316609003,170316611003
3336,[170 -04] 39743,On S Escanaba Ave From E 127th St To E 128th St,2019-2023,S Escanaba Ave And E 127th St,S Escanaba Ave And E 128th St,"[41.664705, -87.552501]","[41.66284, -87.553214]",170318388002,170315502001
3338,[170 -04] 39743,On S Troy St From W 71st St To W 73rd St,2019-2023,S Troy St And W 71st St,S Troy St And W 73rd St,"[41.764402, -87.701601]","[41.7607429, -87.7015152]",170316609003,170316611002
3464,[170 -04] 39743,On W North Ave From N Nagle Ave To N Natoma Ave,2019-2023,W North Ave And N Nagle Ave,W North Ave And N Natoma Ave,"[41.909107, -87.786608]","[41.909139, -87.791091]","[41.909107, -87.786608]",170312505002
3507,[170 -02 0042] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2014-2018,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]",170314601001,170315502002
3516,[170 -02] 36337,On E 107th St From S Avenue O To S State Line Rd,2014-2018,E 107th St And S Avenue O,E 107th St And S State Line Rd,"[41.70094, -87.540083]","[41.70085, -87.524538]",170315203003,"[41.70085, -87.524538]"
3517,[170 -02] 36338,On S Avenue O From E 133rd St To E 135th St,2014-2018,S Avenue O And E 133rd St,S Avenue O And E 135th St,"[41.6536703, -87.539947]","[41.650015, -87.539887]",170315501001,170315501003
