,location_name,from,to,from_lat_long,to_lat_long
46,On W Barry Ave From N Drake Ave To N Gresham Ave,W Barry Ave And N Drake Ave,W Barry Ave And N Gresham Ave,"[41.937429, -87.716124]","[41.937471, -87.712972]"
47,On W Carmen Ave From N Central Park Ave To N Drake Ave,W Carmen Ave And N Central Park Ave,W Carmen Ave And N Drake Ave,"[41.9738313, -87.7184006]","[41.9732749, -87.7171681]"
48,On W Chase Ave From N Paulina St To N Clark St,W Chase Ave And N Paulina St,W Chase Ave And N Clark St,"[42.0138243, -87.6724049]","[42.013787, -87.674847]"
49,On W Lexington St From S Kilbourn Ave To S Kolmar Ave,W Lexington St And S Kilbourn Ave,W Lexington St And S Kolmar Ave,"[41.8715298, -87.7378268]","[41.8715075, -87.7389825]"
50,On W Palatine Ave From N Natoma Ave To N Newcastle Ave,W Palatine Ave And N Natoma Ave,W Palatine Ave And N Newcastle Ave,"[41.995511, -87.7919665]","[41.995151, -87.7967186]"
51,On W Palmer St From N Kilpatrick Ave To N Knox Ave,W Palmer St And N Kilpatrick Ave,W Palmer St And N Knox Ave,"[41.9206205, -87.7437499]","[41.9206405, -87.742559]"
52,On W Polk St From S Pulaski Rd To S Karlov Ave,W Polk St And S Pulaski Rd,W Polk St And S Karlov Ave,"[41.870952, -87.725327]","[41.8709134, -87.7277991]"
53,On W Roscoe St From N Greenview Ave To N Bosworth Ave,W Roscoe St And N Greenview Ave,W Roscoe St And N Bosworth Ave,"[41.943378, -87.666325]","[41.943366, -87.667534]"
54,On W Roscoe St From N Marshfield Ave To N Bosworth Ave,W Roscoe St And N Marshfield Ave,W Roscoe St And N Bosworth Ave,"[41.943344, -87.669969]","[41.943366, -87.667534]"
55,On W Winona St From N Ravenswood Ave To N Paulina St,W Winona St And N Ravenswood Ave,W Winona St And N Paulina St,"[41.974803, -87.674903]","[41.975193, -87.672035]"
56,On W Argyle St From N California Ave To N Mozart St,W Argyle St And N California Ave,W Argyle St And N Mozart St,"[41.972188, -87.698814]","[41.972172, -87.700037]"
57,On S St Louis Ave From W 80th Pl To W 81st Pl,S St Louis Ave And W 80th Pl,S St Louis Ave And W 81st Pl,"[41.7469494, -87.7096541]","[41.74515, -87.709606]"
59,On S Princeton Ave From W 59th St To W 59th Pl,S Princeton Ave And W 59th St,S Princeton Ave And W 59th Pl,"[41.787176, -87.632821]","[41.786347, -87.632804]"
60,On E 88th St From S East End Ave To S Constance Ave,E 88th St And S East End Ave,E 88th St And S Constance Ave,"[41.735135, -87.582849]","[41.73521, -87.57932]"
