,project_number,location_name,year_range,from,to
3298,[170 -04] 39743,On S Princeton Ave From W Hollywood Ave To W 89th St,2019-2023,S Princeton Ave And W Hollywood Ave,S Princeton Ave And W 89th St
3310,[170 -04] 39743,On S Green St From W 70th St To W 71st St,2019-2023,S Green St And W 70th St,S Green St And W 71st St
3316,[170 -04] 39743,On S Artesian Ave From W Gladys Ave To W Van Buren St,2019-2023,S Artesian Ave And W Gladys Ave,S Artesian Ave And W Van Buren St
3318,[170 -04] 39743,On S California Ave From W Harrison St To W Taylor St,2019-2023,S California Ave And W Harrison St,S California Ave And W Taylor St
3323,[170 -04] 39743,On S Manistee Ave From E 126th St To S Escanaba Ave,2019-2023,S Manistee Ave And E 126th St,S Manistee Ave And S Escanaba Ave
3327,[170 -04] 39743,On S Harvard Ave From W 69th St To W 70th St,2019-2023,S Harvard Ave And W 69th St,S Harvard Ave And W 70th St
3418,[170 -04] 39743,On W Melrose St From N Greenview Ave To N Southport Ave,2019-2023,W Melrose St And N Greenview Ave,W Melrose St And N Southport Ave
3433,[170 -04] 39743,On W 55th St From S Rockwell St To S Western Ave,2019-2023,W 55th St And S Rockwell St,W 55th St And S Western Ave
3449,[170 -04] 39743,S Menard Ave And W Adams Blvd,2019-2023,S Menard Ave And W Adams Blvd,None
3461,[170 -04] 39743,On W Polk St From S Racine Ave To S Morgan St,2019-2023,W Polk St And S Racine Ave,W Polk St And S Morgan St
3489,[170 -04] 39743,On W North Ave From N Austin Ave To N Laramie Ave,2019-2023,W North Ave And N Austin Ave,W North Ave And N Laramie Ave
3506,[170 -02 0042] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2014-2018,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave
3507,[170 -02 0042] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2014-2018,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave
3509,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,2014-2018,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave
3526,[170 -02] 37719,On W 62nd St From S Knox Ave To S Cicero Ave,2014-2018,W 62nd St And S Knox Ave,W 62nd St And S Cicero Ave
3543,[170 -02] 37719,On W 60th St From S Hamlin Ave To S Hale Ave,2014-2018,W 60th St And S Hamlin Ave,W 60th St And S Hale Ave
3556,[170 -02] 37719,On E 116th St From S Prairie Ave To S Front Ave,2014-2018,E 116th St And S Prairie Ave,E 116th St And S Front Ave
3566,[170 -02] 37719,On W Adams St From S Central Ave To S Menard Ave,2014-2018,W Adams St And S Central Ave,W Adams St And S Menard Ave
