,project_number,location_name,year_range,from,to
1662,[170 -04] 37898,On N Laramie Ave From W Concord Pl To W North Ave,2016-2020,N Laramie Ave And W Concord Pl,N Laramie Ave And W North Ave
1665,[170 -04] 37898,On N Lincoln Ave From N Kedzie Ave To W Peterson Ave,2016-2020,N Lincoln Ave And N Kedzie Ave,N Lincoln Ave And W Peterson Ave
1715,[170 -04] 37898,On S South Chicago Ave From E 73rd St To E 74th St,2016-2020,S South Chicago Ave And E 73rd St,S South Chicago Ave And E 74th St
1720,[170 -04] 37898,On S Yale Ave From W 70th St To W 71st St,2016-2020,S Yale Ave And W 70th St,S Yale Ave And W 71st St
1730,[170 -04] 37898,On W 57th St From S Massasoit Ave To S Central Ave,2016-2020,W 57th St And S Massasoit Ave,W 57th St And S Central Ave
1769,[170 -04] 37898,On S South Chicago Ave From E 71st St To S Drexel Ave,2016-2020,S South Chicago Ave And E 71st St,S South Chicago Ave And S Drexel Ave
1813,[170 -04] 37898,2400-2144 S Bross Av,2016-2020,2400 S Bross Av,2144 S Bross Av
1826,[170 -04] 37898,3110-3200 W Logan Blvd,2016-2020,3110 W Logan Blvd,3200 W Logan Blvd
1851,[170 -04] 37898,On N Maplewood Ave From W Peterson Ave To W Thorndale Ave,2017-2021,N Maplewood Ave And W Peterson Ave,N Maplewood Ave And W Thorndale Ave
1879,[170 -04] 37898,On N Ashland Ave From W Edgewater Ave To W Bryn Mawr Ave,2017-2021,N Ashland Ave And W Edgewater Ave,N Ashland Ave And W Bryn Mawr Ave
1883,[170 -04] 37898,On N Lincoln Ave From N Kedzie Ave To W Peterson Ave,2017-2021,N Lincoln Ave And N Kedzie Ave,N Lincoln Ave And W Peterson Ave
1889,[170 -04] 37898,On N Claremont Ave From N Division St To N Potomac Ave,2017-2021,N Claremont Ave And N Division St,N Claremont Ave And N Potomac Ave
1892,[170 -04] 37898,On N Kedzie Ave From W Walnut St To W Lake St,2017-2021,N Kedzie Ave And W Walnut St,N Kedzie Ave And W Lake St
1898,[170 -04] 37898,On N Laramie Ave From W Concord Pl To W North Ave,2017-2021,N Laramie Ave And W Concord Pl,N Laramie Ave And W North Ave
1910,[170 -04] 37898,On N Loomis St From W Arbour Pl To W Fulton St,2017-2021,N Loomis St And W Arbour Pl,N Loomis St And W Fulton St
1957,[170 -04] 37898,On S Yale Ave From W 70th St To W 71st St,2017-2021,S Yale Ave And W 70th St,S Yale Ave And W 71st St
1968,[170 -04] 37898,On W 57th St From S Massasoit Ave To S Central Ave,2017-2021,W 57th St And S Massasoit Ave,W 57th St And S Central Ave
1983,[170 -04] 37898,On S South Chicago Ave From E 73rd St To E 74th St,2017-2021,S South Chicago Ave And E 73rd St,S South Chicago Ave And E 74th St
1991,[170 -04] 37898,On S Hamilton Ave From W Adams St To W Gladys Ave,2017-2021,S Hamilton Ave And W Adams St,S Hamilton Ave And W Gladys Ave
1998,[170 -04] 37898,On S Lytle St From W Harrison St To W Lexington St,2017-2021,S Lytle St And W Harrison St,S Lytle St And W Lexington St
2037,[170 -04] 37898,On S South Chicago Ave From E 71st St To S Drexel Ave,2017-2021,S South Chicago Ave And E 71st St,S South Chicago Ave And S Drexel Ave
2080,[170 -04] 37898,2400-2144 S Bross Av,2017-2021,2400 S Bross Av,2144 S Bross Av
2186,[170 -04] 37898,3110-3200 W Logan Blvd,2017-2021,3110 W Logan Blvd,3200 W Logan Blvd
2201,[170 -04] 38342,On N Ravenswood Ave From W Lawrence Ave To W Sunnyside Ave,2017-2021,N Ravenswood Ave And W Lawrence Ave,N Ravenswood Ave And W Sunnyside Ave
2202,[170 -04] 38342,On N Washtenaw Ave From W Chicago Ave To W Grand Ave,2017-2021,N Washtenaw Ave And W Chicago Ave,N Washtenaw Ave And W Grand Ave
2224,[170 -04] 38342,On S Paulina St From W Harrison St To W Polk St,2017-2021,S Paulina St And W Harrison St,S Paulina St And W Polk St
2245,[170 -04] 38342,On N Oakley Blvd From W Kinzie St To W Adams St,2017-2021,N Oakley Blvd And W Kinzie St,N Oakley Blvd And W Adams St
2261,[170 -04] 38342,On N Western Ave From W Madison St To W Van Buren St,2017-2021,N Western Ave And W Madison St,N Western Ave And W Van Buren St
2285,[170 -04] 38342,On N Ashland Ave From W Fulton St To W Lake St,2017-2021,N Ashland Ave And W Fulton St,N Ashland Ave And W Lake St
2294,[170 -04] 38342,On N Lynch Ave From N Laramie Ave To N Elston Ave,2017-2021,N Lynch Ave And N Laramie Ave,N Lynch Ave And N Elston Ave
2314,[170 -04] 38342,On W Ogden Ave From S Homan Ave To S Albany Ave,2017-2021,W Ogden Ave And S Homan Ave,W Ogden Ave And S Albany Ave
2333,[170 -04] 38342,3900-3714 N Orleans St,2017-2021,3900 N Orleans St,3714 N Orleans St
2354,[170 -04] 38342,On W 83rd St From S State St To S Martin St Luther King Dr,2017-2021,W 83rd St And S State St,W 83rd St And S Martin St Luther King Dr
2361,[170 -04] 38342,On W Ogden Ave From S Kenton Ave To S Pulaski Rd,2017-2021,W Ogden Ave And S Kenton Ave,W Ogden Ave And S Pulaski Rd
2365,[170 -04] 38342,On W North Ave From N Hamlin Ave To N Kimball Ave,2017-2021,W North Ave And N Hamlin Ave,W North Ave And N Kimball Ave
2414,[170 -04] 38342,4000-3914 N Orleans St,2017-2021,4000 N Orleans St,3914 N Orleans St
2477,[170 -04] 38342,On N Ravenswood Ave From W Lawrence Ave To W Sunnyside Ave,2018-2022,N Ravenswood Ave And W Lawrence Ave,N Ravenswood Ave And W Sunnyside Ave
2478,[170 -04] 38342,On N Washtenaw Ave From W Chicago Ave To W Grand Ave,2018-2022,N Washtenaw Ave And W Chicago Ave,N Washtenaw Ave And W Grand Ave
2500,[170 -04] 38342,On S Paulina St From W Harrison St To W Polk St,2018-2022,S Paulina St And W Harrison St,S Paulina St And W Polk St
2520,[170 -04] 38342,On N Oakley Blvd From W Kinzie St To W Adams St,2018-2022,N Oakley Blvd And W Kinzie St,N Oakley Blvd And W Adams St
2536,[170 -04] 38342,On N Western Ave From W Madison St To W Van Buren St,2018-2022,N Western Ave And W Madison St,N Western Ave And W Van Buren St
2560,[170 -04] 38342,On N Ashland Ave From W Fulton St To W Lake St,2018-2022,N Ashland Ave And W Fulton St,N Ashland Ave And W Lake St
2569,[170 -04] 38342,On N Lynch Ave From N Laramie Ave To N Elston Ave,2018-2022,N Lynch Ave And N Laramie Ave,N Lynch Ave And N Elston Ave
2589,[170 -04] 38342,On W Ogden Ave From S Homan Ave To S Albany Ave,2018-2022,W Ogden Ave And S Homan Ave,W Ogden Ave And S Albany Ave
2608,[170 -04] 38342,3900-3714 N Orleans St,2018-2022,3900 N Orleans St,3714 N Orleans St
2630,[170 -04] 38342,On W 83rd St From S State St To S Martin St Luther King Dr,2018-2022,W 83rd St And S State St,W 83rd St And S Martin St Luther King Dr
2637,[170 -04] 38342,On W Ogden Ave From S Kenton Ave To S Pulaski Rd,2018-2022,W Ogden Ave And S Kenton Ave,W Ogden Ave And S Pulaski Rd
2641,[170 -04] 38342,On W North Ave From N Hamlin Ave To N Kimball Ave,2018-2022,W North Ave And N Hamlin Ave,W North Ave And N Kimball Ave
