,Project_#,Project_Title,Start_Date,End_Date
0,170 04 0026 / 3043,SHERIDAN- DEVON TO BIRCHWOOD,Jul-2015,Oct-2015
1,170 04 0027 / 3044,THORNDALE-SHERIDAN TO GLENWOOD,Mar-2015,Nov-2015
2,170 04 / 37896,2014 Sewer Main Lining,Jan-2014,Dec-2014
4,170 04 / 37897,2015 Sewer Main Lining,Jan-2015,Dec-2015
5,170 04 / 37898,2016 Sewer Main Lining,Jan-2016,Dec-2016
6,170 04 / 38342,2017 Sewer Main Lining,Jan-2017,Dec-2017
7,170 04 / 39029,2018 - Sewer Main Lining,Jan-2018,Dec-2018
