,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,170 02 0465 / 2917,0F16,"7,400,000","7,400,000",0,0
1,170 02 0042 / 3204,SBF,"4,546,613",0,0,"4,546,613"
2,170 02 / 32926,0F24,"3,079,000",0,0,"3,079,000"
3,170 02 / 33346,0F24,"20,000,000",0,"10,000,000","20,000,000"
4,170 02 / 35683,0F24,"2,928,056",0,0,"2,928,056"
5,170 02 / 36058,0F24,"537,000",0,"537,000","537,000"
6,170 02 / 36337,0F16,"5,555,040","5,555,040",0,0
7,170 02 / 36338,0F16,"900,000",0,"900,000","900,000"
8,170 02 / 36364,0F19,"1,300,000",0,"1,300,000","1,300,000"
9,170 02 / 36595,0F16,"2,600,000","2,600,000",0,0
10,170 02 / 36606,0F19,"11,500,000",0,"11,500,000","11,500,000"
11,170 02 / 36849,0F24,"4,600,000",0,"4,600,000","4,600,000"
12,170 02 / 36850,0F24,"4,720,000",0,0,"4,720,000"
13,170 02 / 36851,SBF,"4,720,000",0,0,"4,720,000"
14,170 02 / 37719,0F24,"36,000,000",0,"36,000,000","36,000,000"
15,170 02 / 37791,0F19,"3,500,000",0,"3,500,000","3,500,000"
16,170 02 / 37791,0F24,"16,480,000",0,"16,480,000","16,480,000"
17,170 02 / 37792,0F24,"16,970,000",0,0,"16,970,000"
18,170 02 / 37793,0F24,"37,130,000",0,0,"37,130,000"
19,170 02 / 37794,SBF,"38,250,000",0,0,"38,250,000"
20,170 02 / 37887,SBF,"17,480,000",0,0,"17,480,000"
21,170 02 / 37903,0F24,"300,000",0,"300,000","300,000"
22,170 02 / 37904,0F24,"320,000",0,0,"320,000"
23,170 02 / 37905,SBF,"330,000",0,0,"330,000"
24,170 02 / 37907,0F24,"1,240,000",0,"1,240,000","1,240,000"
25,170 02 / 37908,0F24,"1,270,000",0,0,"1,270,000"
26,170 02 / 37909,SBF,"1,310,000",0,0,"1,310,000"
27,170 02 / 37910,0F24,"575,000",0,"575,000","575,000"
28,170 02 / 37911,0F24,"270,000",0,0,"270,000"
29,170 02 / 37912,SBF,"270,000",0,0,"270,000"
30,170 02 / 37914,0F24,"8,500,000",0,"8,500,000","8,500,000"
31,170 02 / 37915,0F24,"6,370,000",0,0,"6,370,000"
32,170 02 / 37916,SBF,"6,560,000",0,0,"6,560,000"
33,170 02 / 37917,0F24,"19,000,000",0,"19,000,000","19,000,000"
34,170 02 / 37918,0F24,"20,160,000",0,0,"20,160,000"
35,170 02 / 37919,SBF,"20,760,000",0,0,"20,760,000"
36,170 02 / 37933,0F24,"9,370,510",0,0,"9,370,510"
37,170 02 / 38038,0F16,"1,700,000",0,"1,700,000","1,700,000"
38,170 02 / 38038,0F19,"1,600,000",0,"1,600,000","1,600,000"
39,170 02 / 38039,SBF,"3,168,885",0,0,"3,168,885"
40,170 02 / 38040,0F24,"5,100,000",0,"5,100,000","5,100,000"
41,170 02 / 38041,0F24,"10,100,000",0,"10,100,000","10,100,000"
42,170 02 / 38042,0F24,"5,600,000",0,"5,600,000","5,600,000"
43,170 02 / 38043,0F24,"5,100,000",0,"5,100,000","5,100,000"
44,170 02 / 38044,0F24,"4,000,000",0,"4,000,000","4,000,000"
45,170 02 / 38046,0F16,"1,200,000",0,"1,200,000","1,200,000"
46,170 02 / 38047,0F24,"1,400,000",0,"1,400,000","1,400,000"
47,170 02 / 38056,0F16,"2,000,000",0,"2,000,000","2,000,000"
48,170 02 / 38113,0F19,"1,800,000",0,"1,800,000","1,800,000"
49,170 02 / 38307,SBF,"18,010,000",0,0,"18,010,000"
50,170 02 / 38309,SBF,"39,390,000",0,0,"39,390,000"
51,170 02 / 38310,SBF,"21,380,000",0,0,"21,380,000"
52,170 02 / 38313,SBF,"340,000",0,0,"340,000"
53,170 02 / 38314,SBF,"1,350,000",0,0,"1,350,000"
54,170 02 / 38316,SBF,"280,000",0,0,"280,000"
55,170 02 / 38318,SBF,"5,010,000",0,0,"5,010,000"
56,170 02 / 38319,SBF,"6,750,000",0,0,"6,750,000"
57,170 02 / 38331,SBF,"1,130,000",0,0,"1,130,000"
58,170 02 / 38378,0F24,"1,100,000",0,"1,100,000","1,100,000"
59,170 02 / 38380,0F24,"1,060,000",0,0,"1,060,000"
60,170 02 / 38381,SBF,"1,090,000",0,0,"1,090,000"
61,170 02 / 38382,0F19,"1,700,000",0,"1,700,000","1,700,000"
62,170 02 / 38383,0F19,"900,000",0,"900,000","900,000"
63,170 02 / 38386,0F24,"12,600,000",0,0,"12,600,000"
64,170 02 / 38387,0F24,"4,500,000",0,"4,500,000","4,500,000"
65,170 02 / 38390,0F19,"3,300,000",0,"3,300,000","3,300,000"
66,170 02 / 38406,0F24,"6,918,149",0,0,"6,918,149"
67,170 02 / 38407,0F24,"2,862,564",0,0,"2,862,564"
68,170 02 / 38409,0F24,"1,908,790",0,0,"1,908,790"
69,170 02 / 38412,0F24,"1,506,275",0,0,"1,506,275"
70,170 02 / 38413,0F24,"2,065,870",0,0,"2,065,870"
71,170 02 / 38415,0F24,"2,692,220",0,0,"2,692,220"
72,170 02 / 38782,0F24,"1,200,000",0,"1,200,000","1,200,000"
73,170 02 / 38783,0F24,"4,300,000",0,"4,300,000","4,300,000"
74,170 02 / 38784,SBF,"2,862,860",0,0,"2,862,860"
75,170 02 / 38786,0F24,"2,214,216",0,0,"2,214,216"
76,170 02 / 38787,0F24,"2,692,219",0,0,"2,692,219"
77,170 02 / 38788,0F24,"3,626,460",0,0,"3,626,460"
78,170 02 / 38789,0F24,"2,730,403",0,0,"2,730,403"
79,170 02 / 38790,0F24,"2,315,502",0,0,"2,315,502"
