,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
80,170 02 / 38791,0F24,"2,973,606",0,0,"2,973,606"
81,170 02 / 38792,0F24,"1,875,844",0,0,"1,875,844"
82,170 02 / 38793,0F24,"3,473,963",0,0,"3,473,963"
83,170 02 / 38794,0F24,"2,096,532",0,0,"2,096,532"
84,170 02 / 38795,0F24,"2,349,153",0,0,"2,349,153"
85,170 02 / 38796,0F24,"3,223,610",0,0,"3,223,610"
86,170 02 / 38797,0F24,"2,240,595",0,0,"2,240,595"
87,170 02 / 38798,0F24,"1,922,220",0,0,"1,922,220"
88,170 02 / 38799,0F24,"3,322,780",0,0,"3,322,780"
89,170 02 / 38802,0F24,"3,339,546",0,0,"3,339,546"
90,170 02 / 38803,0F24,"3,627,061",0,0,"3,627,061"
91,170 02 / 38818,0F24,"1,046,386",0,0,"1,046,386"
92,170 02 / 38831,0F24,"1,667,514",0,0,"1,667,514"
93,170 02 / 38832,0F24,"2,069,383",0,0,"2,069,383"
94,170 02 / 38833,0F24,"2,272,436",0,0,"2,272,436"
95,170 02 / 38880,0F24,"2,139,423",0,0,"2,139,423"
96,170 02 / 38881,0F24,"1,756,077",0,0,"1,756,077"
97,170 02 / 38883,SBF,"1,777,620",0,0,"1,777,620"
98,170 02 / 38884,SBF,"3,270,848",0,0,"3,270,848"
99,170 02 / 38885,SBF,"6,962,340",0,0,"6,962,340"
100,170 02 / 38889,SBF,"2,262,744",0,0,"2,262,744"
101,170 02 / 38890,SBF,"1,902,748",0,0,"1,902,748"
102,170 02 / 38891,SBF,"3,906,167",0,0,"3,906,167"
103,170 02 / 38893,SBF,"4,716,500",0,0,"4,716,500"
104,170 02 / 38894,SBF,"2,512,640",0,0,"2,512,640"
105,170 02 / 38981,0F24,"10,000,000",0,"10,000,000","10,000,000"
106,170 02 / 39007,SBF,"18,550,000",0,0,"18,550,000"
107,170 02 / 39020,SBF,"1,390,000",0,0,"1,390,000"
108,170 02 / 39021,SBF,"350,000",0,0,"350,000"
109,170 02 / 39022,SBF,"6,960,000",0,0,"6,960,000"
110,170 02 / 39023,SBF,"5,160,000",0,0,"5,160,000"
111,170 02 / 39024,SBF,"10,000,000",0,0,"10,000,000"
112,170 02 / 39025,SBF,"22,030,000",0,0,"22,030,000"
113,170 02 / 39026,SBF,"1,160,000",0,0,"1,160,000"
114,170 02 / 39030,SBF,"290,000",0,0,"290,000"
115,170 02 / 39031,SBF,"18,550,000",0,0,"18,550,000"
116,170 02 / 39036,SBF,"40,570,000",0,0,"40,570,000"
117,170 02 / 39040,0F24,"10,000,000",0,0,"10,000,000"
118,170 02 / 39041,SBF,"10,000,000",0,0,"10,000,000"
119,170 02 / 39042,SBF,"10,000,000",0,0,"10,000,000"
120,170 02 / 39054,SBF,"3,960,155",0,0,"3,960,155"
121,170 02 / 39099,0F24,"1,566,041",0,"1,566,041","1,566,041"
122,170 02 / 39140,SBF,"55,000,000",0,0,"55,000,000"
123,170 02 / 39144,SBF,"153,000,000",0,0,"153,000,000"
124,170 02 / 39146,SBF,"157,660,000",0,0,"157,660,000"
