,Project_#,Project_Location
0,[170 -04] 39029,On E 72nd St From S Kimbark Ave To S Dorchester Ave
1,[170 -04] 39029,On N Wayne Ave From W Granville Ave To W Devon Ave
2,[170 -04] 39029,On N Western Ave From W Maypole Ave To W Lake St
3,[170 -04] 39029,On N Winchester Ave From N Olcott Ave To W Sunnyside Ave
4,[170 -04] 39029,On N Wolcott Ave From W Kinzie St To W Warren Blvd
5,[170 -04] 39029,On S Albany Ave From W Cermak Rd To W 26th St
6,[170 -04] 39029,On S Archer Ave From S Corbett St To S Halsted St
7,[170 -04] 39029,On S Ashland Ave From W 79th St To W 83rd St
8,[170 -04] 39029,On S Carpenter St From W 99th St To W 100th St
9,[170 -04] 39029,On S Central Park Ave From W 28th St To W 32nd St
10,[170 -04] 39029,On S Clyde Ave From E 99th St To E 100th St
11,[170 -04] 39029,On S Cottage Grove Ave From E 86th St To E 87th St
12,[170 -04] 39029,On N Tripp Ave From W Argyle St To W Ainslie St
13,[170 -04] 39029,On S Dr Martin Luther King Jr Dr From E 101st St To E 103rd St
14,[170 -04] 39029,On S Essex Ave From E 76th St To E 77th St
15,[170 -04] 39029,On S Hamlin Ave From W 26th St To W 27th St
16,[170 -04] 39029,On S Kenneth Ave From W Lexington St To W Fifth Ave
17,[170 -04] 39029,On S Kingston Ave From S Anthony Ave To S South Chicago Ave
18,[170 -04] 39029,On S Lawndale Ave From W Cermak Rd To W 26th St
19,[170 -04] 39029,On S Michigan Ave From E 95th St To E 96th St
20,[170 -04] 39029,On S Peoria St From W 104th St To W 105th St
21,[170 -04] 39029,On S Princeton Ave From W 115th St To W 116th St
22,[170 -04] 39029,On S Racine Ave From W 104th St To W 105th St
23,[170 -04] 39029,On S Vernon Ave From E 104th St To E 105th St
24,[170 -04] 39029,On S Wabash Ave From E 111th St To E 110th St
25,[170 -04] 39029,On S Eggleston Ave From W 107th St To W 108th St
26,[170 -04] 39029,On N Spaulding Ave From W Ardmore Ave To W Hollywood Ave
27,[170 -04] 39029,On S Western Ave From W Congress Pkwy To W Harrison St
28,[170 -04] 39029,On N Ridgeway Ave From N Elston Ave To W Belle Plaine Ave
29,[170 -04] 39029,On E 79th St From S Clyde Ave To S Merrill Ave
30,[170 -04] 39029,On N Artesian Ave From W Pratt Blvd To W North Shore Ave
