,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -02] 3204,SBF,"11,539,000",0,0,"11,539,000"
1,[170 -02] 32926,0F24,"3,900,000","3,900,000",0,0
2,[170 -02] 32989,0F19,"678,000",0,"678,000","678,000"
3,[170 -02] 32989,0J63,"1,808,000",0,"1,808,000","1,808,000"
4,[170 -02] 33346,0F24,"20,810,000","20,810,000",0,0
5,[170 -02] 33467,SBF,"3,355,570",0,0,"3,355,570"
6,[170 -02] 35683,0F24,"2,700,000","2,700,000",0,0
7,[170 -02] 36174,SBF,"3,652,000",0,0,"3,652,000"
8,[170 -02] 36851,0F19,"1,500,000",0,"1,500,000","1,500,000"
9,[170 -02] 36851,SBF,"8,500,000",0,"8,500,000","8,500,000"
10,[170 -02] 37794,0F19,"3,000,000",0,"3,000,000","3,000,000"
11,[170 -02] 37794,SBF,"35,190,000",0,"35,190,000","35,190,000"
14,[170 -02] 37887,0F19,"8,000,000",0,"8,000,000","8,000,000"
15,[170 -02] 37887,SBF,"9,500,000",0,"9,500,000","9,500,000"
16,[170 -02] 37905,0F19,"320,000",0,"320,000","320,000"
17,[170 -02] 37909,0F19,"1,310,000",0,"1,310,000","1,310,000"
18,[170 -02] 37912,0F19,"1,000,000",0,"1,000,000","1,000,000"
19,[170 -02] 37912,SBF,"375,000",0,"375,000","375,000"
20,[170 -02] 37916,0F19,"4,000,000",0,"4,000,000","4,000,000"
21,[170 -02] 37916,SBF,"9,900,000",0,"9,900,000","9,900,000"
22,[170 -02] 37919,0F19,"5,000,000",0,"5,000,000","5,000,000"
23,[170 -02] 37919,SBF,"13,000,000",0,"13,000,000","13,000,000"
24,[170 -02] 38307,SBF,"18,030,000",0,0,"18,030,000"
25,[170 -02] 38309,SBF,"39,340,000",0,0,"39,340,000"
26,[170 -02] 38310,SBF,"18,600,000",0,0,"18,600,000"
27,[170 -02] 38313,SBF,"520,000",0,0,"520,000"
28,[170 -02] 38314,SBF,"2,145,000",0,0,"2,145,000"
29,[170 -02] 38316,SBF,"1,416,000",0,0,"1,416,000"
30,[170 -02] 38318,SBF,"10,300,000",0,0,"10,300,000"
31,[170 -02] 38319,SBF,"24,348,000",0,0,"24,348,000"
32,[170 -02] 38331,SBF,"2,200,000",0,0,"2,200,000"
33,[170 -02] 38381,0F19,"1,770,000",0,"1,770,000","1,770,000"
34,[170 -02] 38381,SBF,"330,000",0,"330,000","330,000"
35,[170 -02] 38382,0F19,"1,700,000","1,700,000",0,0
36,[170 -02] 38382,SBF,"1,700,000",0,"1,700,000","1,700,000"
37,[170 -02] 38386,0F24,"15,400,000","9,400,000","6,000,000","6,000,000"
38,[170 -02] 38406,0F24,"724,778","724,778",0,0
39,[170 -02] 38406,0F35,"4,775,222",0,"4,775,222","4,775,222"
40,[170 -02] 38786,0F24,"3,100,000","3,100,000",0,0
41,[170 -02] 38787,0F24,"2,400,000",0,"200,000","2,400,000"
42,[170 -02] 38788,0F24,"4,000,000","3,000,000","1,000,000","1,000,000"
43,[170 -02] 38789,0F19,"980,000",0,"980,000","980,000"
44,[170 -02] 38789,0J63,"2,775,994","2,775,994",0,0
45,[170 -02] 38790,0F24,"4,400,000","2,400,000","2,000,000","2,000,000"
46,[170 -02] 38791,0F24,"3,300,000",0,"3,300,000","3,300,000"
47,[170 -02] 38792,0F19,"388,089",0,"388,089","388,089"
48,[170 -02] 38792,0J63,"1,746,398","1,746,398",0,0
49,[170 -02] 38794,0F19,"138,000","138,000",0,0
50,[170 -02] 38794,0F24,"137,000","137,000",0,0
51,[170 -02] 38794,0J63,"2,464,080",0,"2,464,080","2,464,080"
52,[170 -02] 38795,0F19,"992,501",0,"992,501","992,501"
53,[170 -02] 38795,0J63,"2,812,085","2,812,085",0,0
54,[170 -02] 38796,0F19,"183,000",0,"183,000","183,000"
55,[170 -02] 38796,0F24,"182,000",0,"182,000","182,000"
56,[170 -02] 38796,0J63,"3,273,190",0,"3,273,190","3,273,190"
57,[170 -02] 38797,0F19,"836,882",0,"836,882","836,882"
58,[170 -02] 38797,0J63,"2,371,166","2,371,166",0,0
59,[170 -02] 38798,0F24,"2,500,010",0,"500,010","2,500,010"
60,[170 -02] 38799,0F19,"1,127,157",0,"1,127,157","1,127,157"
61,[170 -02] 38799,0J63,"3,375,153",0,"3,375,153","3,375,153"
62,[170 -02] 38801,SBF,"8,000,000",0,0,"8,000,000"
63,[170 -02] 38802,0F19,"934,971",0,"934,971","934,971"
64,[170 -02] 38802,0J63,"2,517,950","2,517,950",0,0
65,[170 -02] 38803,0F24,"4,500,000",0,"500,000","4,500,000"
66,[170 -02] 38818,0F24,"2,000,000",0,"2,000,000","2,000,000"
67,[170 -02] 38818,SBF,"2,000,000",0,0,"2,000,000"
68,[170 -02] 38832,0F19,"375,000","375,000",0,0
69,[170 -02] 38832,0J63,"1,706,363",0,"1,706,363","1,706,363"
70,[170 -02] 38880,SBF,"6,740,841",0,0,"6,740,841"
71,[170 -02] 38881,0F19,"910,543",0,"910,543","910,543"
72,[170 -02] 38881,0J63,"2,428,114","2,428,114",0,0
73,[170 -02] 38883,0F19,"769,760",0,"769,760","769,760"
74,[170 -02] 38883,0J63,"2,021,507","2,021,507",0,0
75,[170 -02] 38884,SBF,"4,100,000",0,0,"4,100,000"
76,[170 -02] 38885,SBF,"11,000,000",0,"11,000,000","11,000,000"
77,[170 -02] 38889,SBF,"3,334,495",0,0,"3,334,495"
78,[170 -02] 38890,SBF,"2,845,547",0,0,"2,845,547"
79,[170 -02] 38891,SBF,"4,600,000",0,0,"4,600,000"
80,[170 -02] 38893,SBF,"3,447,197",0,"3,447,197","3,447,197"
81,[170 -02] 38894,SBF,"2,512,640",0,0,"2,512,640"
82,[170 -02] 39007,SBF,"18,600,000",0,0,"18,600,000"
83,[170 -02] 39020,SBF,"2,200,000",0,0,"2,200,000"
84,[170 -02] 39021,SBF,"530,000",0,0,"530,000"
85,[170 -02] 39022,SBF,"25,100,000",0,0,"25,100,000"
86,[170 -02] 39023,SBF,"10,600,000",0,0,"10,600,000"
87,[170 -02] 39024,SBF,"12,000,000",0,0,"12,000,000"
88,[170 -02] 39025,SBF,"19,100,000",0,0,"19,100,000"
89,[170 -02] 39026,SBF,"2,200,000",0,0,"2,200,000"
90,[170 -02] 39030,SBF,"1,500,000",0,0,"1,500,000"
91,[170 -02] 39031,SBF,"19,700,000",0,0,"19,700,000"
92,[170 -02] 39036,SBF,"40,520,000",0,0,"40,520,000"
93,[170 -02] 39041,SBF,"7,355,000",0,"7,355,000","7,355,000"
94,[170 -02] 39042,SBF,"12,000,000",0,0,"12,000,000"
95,[170 -02] 39054,SBF,"3,960,155",0,0,"3,960,155"
96,[170 -02] 39099,0F24,"3,550,000","3,550,000",0,0
97,[170 -02] 39344,SBF,"10,201,487",0,0,"10,201,487"
98,[170 -02] 39462,0F24,"1,500,000","1,500,000",0,0
99,[170 -02] 39464,0F19,"300,000",0,"300,000","300,000"
100,[170 -02] 39464,0F24,"2,500,000","2,500,000",0,0
101,[170 -02] 39499,SBF,"2,422,660",0,0,"2,422,660"
102,[170 -02] 39559,SBF,"2,778,000",0,0,"2,778,000"
103,[170 -02] 39560,SBF,"5,300,990",0,0,"5,300,990"
104,[170 -02] 39561,SBF,"2,000,000",0,0,"2,000,000"
105,[170 -02] 39562,SBF,"3,335,000",0,0,"3,335,000"
106,[170 -02] 39563,SBF,"3,250,000",0,0,"3,250,000"
107,[170 -02] 39564,SBF,"2,920,000",0,0,"2,920,000"
108,[170 -02] 39567,SBF,"2,510,000",0,0,"2,510,000"
109,[170 -02] 39568,SBF,"4,543,000",0,0,"4,543,000"
110,[170 -02] 39569,SBF,"1,575,000",0,0,"1,575,000"
111,[170 -02] 39570,SBF,"1,566,000",0,0,"1,566,000"
112,[170 -02] 39575,SBF,"3,000,000",0,0,"3,000,000"
113,[170 -02] 39578,SBF,"41,700,000",0,0,"41,700,000"
114,[170 -02] 39680,SBF,"2,500,000",0,0,"2,500,000"
115,[170 -02] 39681,SBF,"960,319",0,0,"960,319"
116,[170 -02] 39698,SBF,"4,652,000",0,0,"4,652,000"
117,[170 -02] 39704,SBF,"3,685,912",0,0,"3,685,912"
118,[170 -02] 39705,SBF,"2,212,019",0,0,"2,212,019"
119,[170 -02] 39706,SBF,"6,100,000",0,0,"6,100,000"
120,[170 -02] 39707,0F19,"4,500,000",0,"4,500,000","4,500,000"
121,[170 -02] 39722,SBF,"19,128,000",0,0,"19,128,000"
122,[170 -02] 39723,SBF,"19,700,000",0,0,"19,700,000"
123,[170 -02] 39734,SBF,"25,830,000",0,0,"25,830,000"
124,[170 -02] 39736,SBF,"10,900,000",0,0,"10,900,000"
125,[170 -02] 39737,SBF,"1,500,000",0,0,"1,500,000"
126,[170 -02] 39738,SBF,"2,300,000",0,0,"2,300,000"
127,[170 -02] 39740,SBF,"552,000",0,0,"552,000"
128,[170 -02] 39745,SBF,"2,275,000",0,0,"2,275,000"
129,[170 -02] 39897,SBF,"12,000,000",0,0,"12,000,000"
130,[170 -02] 40110,SBF,"42,985,000",0,0,"42,985,000"
131,[170 -02] 40123,SBF,"4,913,567",0,0,"4,913,567"
132,[170 -02] 40124,SBF,"2,475,546",0,0,"2,475,546"
133,[170 -02] 40125,SBF,"4,330,800",0,0,"4,330,800"
134,[170 -02] 40128,SBF,"2,131,610",0,0,"2,131,610"
135,[170 -02] 40129,SBF,"1,912,500",0,0,"1,912,500"
136,[170 -02] 40131,SBF,"995,400",0,0,"995,400"
137,[170 -02] 40132,SBF,"4,984,188",0,0,"4,984,188"
138,[170 -02] 40133,SBF,"3,203,850",0,0,"3,203,850"
139,[170 -02] 40134,SBF,"1,984,075",0,0,"1,984,075"
140,[170 -02] 40135,SBF,"2,589,240",0,0,"2,589,240"
141,[170 -02] 40139,SBF,"3,152,622",0,0,"3,152,622"
142,[170 -02] 40140,SBF,"2,643,425",0,0,"2,643,425"
143,[170 -02] 40141,SBF,"3,927,595",0,0,"3,927,595"
144,[170 -02] 40142,SBF,"743,363",0,0,"743,363"
145,[170 -02] 40143,SBF,"2,319,740",0,0,"2,319,740"
146,[170 -02] 40145,SBF,"2,891,114",0,0,"2,891,114"
147,[170 -02] 40146,SBF,"2,022,565",0,0,"2,022,565"
148,[170 -02] 40223,0F19,"171,500",0,"171,500","171,500"
149,[170 -02] 40247,SBF,"1,712,000",0,0,"1,712,000"
150,[170 -02] 40273,SBF,"4,000,000",0,"4,000,000","4,000,000"
151,[170 -02] 40376,SBF,"19,701,863",0,0,"19,701,863"
152,[170 -02] 40377,SBF,"20,298,889",0,0,"20,298,889"
153,[170 -02] 40378,SBF,"4,502,035",0,0,"4,502,035"
154,[170 -02] 40380,SBF,"111,160,000",0,0,"111,160,000"
155,[170 -02] 40382,SBF,"26,605,340",0,0,"26,605,340"
156,[170 -02] 40383,SBF,"11,255,088",0,0,"11,255,088"
157,[170 -02] 40384,SBF,"1,547,575",0,0,"1,547,575"
158,[170 -02] 40385,SBF,"2,363,569",0,0,"2,363,569"
159,[170 -02] 40386,SBF,"2,343,995",0,0,"2,343,995"
160,[170 -02] 40389,SBF,"568,931",0,0,"568,931"
161,[170 -02] 40391,SBF,"700,000",0,0,"700,000"
162,[170 -02] 40413,SBF,"103,700,000",0,"700,000","103,700,000"
163,[170 -02] 40451,SBF,"2,560,000",0,"2,360,000","2,560,000"
