,Project_#,Project_Title,Start_Date,End_Date
0,[170 -04] 37898,2016 Sewer Main Lining,Jan-16,Jul-17
4,[170 -04] 38342,2017 Sewer Main Lining,Jan-17,Dec-17
7,[170 -04] 39029,2018 - Sewer Main Lining,Jan-18,Dec-18
8,[170 -04] 39743,2019 Sewer Main Lining,Jan-19,Dec-19
9,[170 -04] 40397,2020 Sewer Main Lining,Jan-20,Dec-20
10,[170 -04] 40895,2021 Sewer Main Lining,Jan-21,Dec-22
11,[170 -04] 40990,FULTON MARKET - SEWER LINING IMPROVEMENTS,Jan-15,Dec-17
