,Project_#,Project_Title,Start_Date,End_Date
0,[170 -04] 39029,2018 Sewer Main Lining,Jan-18,Jun-19
2,[170 -04] 39743,2019 Sewer Main Lining,Jan-19,Jun-20
6,[170 -04] 40397,2020 Sewer Main Lining,Jan-20,Dec-21
7,[170 -04] 40895,2021 Sewer Main Lining,Jan-21,Dec-22
8,[170 -04] 41323,2022 Sewer Main Lining,Jan-22,Jun-23
9,[170 -04] 42008,2023 Sewer Main Lining,Jan-23,Jun-24
