,Project_#,Project_Location
0,[170 -04] 38342,On E 101st St From S Forest Ave To S Dr Martin Luther King Jr Dr
1,[170 -04] 38342,On N Page Ave From W Irving Park Rd To W Addison St
2,[170 -04] 38342,On N Paris Ave From W Waveland Ave To W Addison St
3,[170 -04] 38342,On N Plainfield Ave From W Irving Park Rd To W Grace St
4,[170 -04] 38342,On N Ravenswood Ave From W Lawrence Ave To W Sunnyside Ave
5,[170 -04] 38342,On N Washtenaw Ave From W Chicago Ave To W Grand Ave
6,[170 -04] 38342,On N Winchester Ave From W Lawrence Ave To W Wilson Ave
7,[170 -04] 38342,On N Wolcott Ave From W Huron St To W Warren Blvd
8,[170 -04] 38342,On S Anthony Ave From E 83rd St To E 84th St
9,[170 -04] 38342,On S Archer Ave From W 35th St To W 37th St
10,[170 -04] 38342,On S Avalon Ave From E 81st St To E 83rd St
11,[170 -04] 38342,On S Central Park Ave From W 28th St To W 32nd St
12,[170 -04] 38342,On N Ozanam Ave From W Addison St To W School St
13,[170 -04] 38342,On S Champlain Ave From E 80th St To E 81st St
14,[170 -04] 38342,On S Cregier Ave From E 89th St To E 90th St
15,[170 -04] 38342,On S Dr Martin Luther King Jr Dr From E 101st St To E 103rd St
16,[170 -04] 38342,On S Drake Ave From W 30th St To W 31st St
17,[170 -04] 38342,On S Emerald Ave From W 69th St To W 71st St
18,[170 -04] 38342,On S Hamlin Ave From W 26th St To W 27th St
19,[170 -04] 38342,On S Homan Ave From W 16th St To W 26th St
20,[170 -04] 38342,On S Lawndale Ave From W 15th St To W 16th St
21,[170 -04] 38342,On S Lawndale Ave From W 26th St To W 31st St
22,[170 -04] 38342,On S Luella Ave From E 89th St To E 90th St
23,[170 -04] 38342,On S Michigan Ave From E 81st St To E 82nd St
24,[170 -04] 38342,On S Millard Ave From W 15th St To W 16th St
25,[170 -04] 38342,On S Clyde Ave From E 99th St To E 100th St
26,[170 -04] 38342,On N Ottawa Ave From W Cornelia Ave To W School St
27,[170 -04] 38342,On S Paulina St From W Harrison St To W Polk St
28,[170 -04] 38342,On N Opal Ave From W Addison St To W School St
29,[170 -04] 38342,On E 84th Pl From S Stony Island Ave To S Cregier Ave
30,[170 -04] 38342,On E 86th St From S Dante Ave To S Blackstone Ave
31,[170 -04] 38342,On E 89th St From S State St To S Indiana Ave
32,[170 -04] 38342,On E 93rd St From S Harper Ave To S Stony Island Ave
33,[170 -04] 38342,On N Ashland Ave From W Wellington Ave To W Diversey Pkwy
34,[170 -04] 38342,On N Austin Ave From W Peterson Ave To N Milwaukee Ave
35,[170 -04] 38342,On N Osceola Ave From W Forest Preserve Ave To W Wellington Ave
36,[170 -04] 38342,On N Central Ave From N Leonard Ave To N Manton Ave
37,[170 -04] 38342,On N Central Ave From W Catalpa Ave To N Lovejoy Ave
38,[170 -04] 38342,On N Damen Ave From W Howard St To W Jarvis Ave
39,[170 -04] 38342,On N Elizabeth St From W Erie St To W Grand Ave
40,[170 -04] 38342,On N Harlem Ave From W Peterson Ave To W Talcott Ave
41,[170 -04] 38342,On N Central Ave From N Elston Ave To W Foster Ave
42,[170 -04] 38342,On N Luna Ave From W Catalpa Ave To W Balmoral Ave
43,[170 -04] 38342,On N Marmora Ave From W Ardmore Ave To N Milwaukee Ave
44,[170 -04] 38342,On N Nagle Ave From N Avondale Ave To W Bryn Mawr Ave
45,[170 -04] 38342,On N Navarre Ave From N Nashotah Ave To N Napoleon Ave
46,[170 -04] 38342,On N Newland Ave From W Hayes Ave To W Imlay St
47,[170 -04] 38342,On N Oakley Blvd From W Kinzie St To W Adams St
48,[170 -04] 38342,On N Octavia Ave From W Byron St To W Cornelia Ave
49,[170 -04] 38342,On N Odell Ave From W Byron St To W Belmont Ave
50,[170 -04] 38342,On N Olcott Ave From W Forest Preserve Ave To W Grace St
51,[170 -04] 38342,On N Olcott Ave From W Palatine Ave To W Myrtle Ave
52,[170 -04] 38342,On N Oleander Ave From W Addison St To W Wellington Ave
53,[170 -04] 38342,On N Hoyne Ave From W Fulton St To W Maypole Ave
54,[170 -04] 38342,On S Ashland Ave From W 79th St To W 83rd St
55,[170 -04] 38342,On S Archer Ave From S Senour Ave To S Halsted St
56,[170 -04] 38342,On S Albany Ave From W Cermak Rd To W 26th St
57,[170 -04] 38342,On N Winthrop Ave From W Lawrence Ave To N Kenmore Ave
58,[170 -04] 38342,On N Ozark Ave From W Addison St To W Cornelia Ave
59,[170 -04] 38342,On N Rutherford Ave From W Foster Ave To W Carmen Ave
60,[170 -04] 38342,On N Racine Ave From W Grand Ave To W Kinzie St
61,[170 -04] 38342,On N Pioneer Ave From W Berteau Ave To W Irving Park Rd
62,[170 -04] 38342,On N Panama Ave From W Irving Park Rd To W Addison St
