,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -04] 37898,0F19,"15,000,000",0,"15,000,000","15,000,000"
1,[170 -04] 37898,SBF,"54,500,000",0,"54,500,000","54,500,000"
6,[170 -04] 38342,SBF,"70,232,000",0,0,"70,232,000"
7,[170 -04] 39029,SBF,"58,427,000",0,0,"58,427,000"
8,[170 -04] 39743,SBF,"53,000,000",0,0,"53,000,000"
9,[170 -04] 40397,SBF,"57,558,097",0,0,"57,558,097"
