,Project_#,Project_Title,Start_Date,End_Date
0,[170 -02] 3204,"CALUMET #4D, PHASE II, 130TH-TORRENCE TO BRANDON",Jun-17,Sep-17
1,[170 -02] 32926,Wolcott: Lawrence to Winnemac,Jun-08,Sep-15
2,[170 -02] 33346,N.Lavergne Ave.- W. Lawrence Av. to W. Montrose Av.(Tunneling),Jun-14,Nov-15
3,[170 -02] 33467,Leavitt/Lawrence,Jul-16,Sep-16
4,[170 -02] 35683,E. 69th St./S Langley Ave SIP,Jun-15,Sep-15
5,[170 -02] 36040,76th/77thSt. Alleys,Jun-15,Nov-15
6,[170 -02] 36338,S. Ave O - E. 133rd St. to E. 135th St.,Apr-15,Sep-15
7,[170 -02] 36850,2015 Professional Services - Design/Engineering,Jan-15,Dec-15
8,[170 -02] 36851,2016 Professional Services - Design/Engineering,Jan-16,Dec-16
9,[170 -02] 37792,2015 Ancillary Sewer Construction,Jan-15,Dec-15
10,[170 -02] 37793,2015 Sewer Main Construction - In House,Jan-15,Dec-15
11,[170 -02] 37794,2016 Sewer Main Construction - In House,Jan-16,Dec-16
12,[170 -02] 37887,2016 Ancillary Sewer Construction,Jan-16,Dec-16
13,[170 -02] 37904,2015 CDOT Materials QA,Jan-15,Dec-15
14,[170 -02] 37905,2016 CDOT Materials QA,Jan-16,Dec-16
15,[170 -02] 37908,2015 CDOT - DEO,Jan-15,Dec-15
16,[170 -02] 37909,2016 CDOT - DEO,Jan-16,Dec-16
17,[170 -02] 37911,2015 Sewer Modeling,Jan-15,Dec-15
18,[170 -02] 37912,2016 Sewer Modeling,Jan-16,Dec-16
19,[170 -02] 37915,2015 Professional Services - Construction Management Consultants,Jan-15,Dec-15
20,[170 -02] 37916,2016 Professional Services - Construction Management Consultants,Jan-16,Dec-16
21,[170 -02] 37918,2015 IH Construction Restoration,Jan-15,Dec-15
22,[170 -02] 37919,2016 IH Construction Restoration,Jan-16,Dec-16
23,[170 -02] 38041,N. Neva Av./W. Talcott Ave.,May-14,Nov-15
24,[170 -02] 38047,S. Drexel/ E. 93rd St.,Aug-14,Aug-15
25,[170 -02] 38056,57th St./Lafayette/Perry,May-15,Sep-15
26,[170 -02] 38113,108th/106th/Vernon,Oct-14,Jun-16
27,[170 -02] 38307,2017 Ancillary Sewer Construction,Jan-17,Dec-17
28,[170 -02] 38310,2017 In House Restoration,Jan-17,Dec-17
29,[170 -02] 38313,2017 CDOT QA,Jan-17,Dec-17
30,[170 -02] 38314,2017 CDOT-DEO,Jan-17,Dec-17
31,[170 -02] 38316,2017 Sewer Modeling,Jan-17,Dec-17
32,[170 -02] 38318,2017 Professional Services Design/Engineering,Jan-17,Dec-17
33,[170 -02] 38319,2017 Professional Services - Construction Management Consultants,Jan-17,Dec-17
34,[170 -02] 38331,2017  Costs for PMO (CTR),Jan-17,Dec-17
35,[170 -02] 38380,2015 Costs for PMO (CTR),Jan-15,Dec-15
36,[170 -02] 38381,2016 Costs for PMO (CTR),Jan-16,Dec-16
37,[170 -02] 38382,Langley/Oakwood,Aug-15,Oct-15
38,[170 -02] 38383,107th / Hale,Mar-15,Jul-15
