,Project_#,Project_Title,Start_Date,End_Date
39,[170 -02] 38386,W. Montrose Ave. - N. Narragansett Ave. to N. Austin,Feb-15,Jul-15
40,[170 -02] 38390,125th St./S.Parnell/S.Eggleston,May-15,Aug-15
41,[170 -02] 38406,56th/57th/Natoma/Nottingham Sewer Improvement Project,Mar-15,Oct-15
42,[170 -02] 38407,Central Av. - Berteau Ave. to Wilson Ave.,Jun-15,Oct-15
43,[170 -02] 38412,S. Bishop St./W. 116th St./W. 118th St.,Mar-15,Dec-15
44,[170 -02] 38784,W. 107th St. / S. Aberdeen,Feb-16,Jun-16
45,[170 -02] 38786,Narragansett Ave./Cornelia Ave/Newport Ave.,Jul-15,Nov-15
46,[170 -02] 38787,Jarvis Ave/Overhill Ave./Ottawa Ave./Oriole Ave,Feb-16,Jun-16
47,[170 -02] 38788,W. 62nd St. / S. Karlov,Feb-15,Nov-15
48,[170 -02] 38789,W. 53rd St. - S. Pulaski Rd. to S. Millard Ave.,Sep-15,Feb-16
49,[170 -02] 38790,Mobile/Bloomingdale/Cortland/Wabansia SIP,Aug-15,Jan-16
50,[170 -02] 38791,W. 60th St.: Mobile to Rutherford,Feb-15,Jun-15
51,[170 -02] 38792,W. 105th St./S. Aberdeen St.,Feb-16,Jun-16
52,[170 -02] 38794,100th / Normal,Sep-15,Jan-16
53,[170 -02] 38795,Calumet / Eberhart,Feb-16,Jun-16
54,[170 -02] 38796,W. 99th St./S. Perry Ave./W. 102nd St.,Sep-15,Dec-15
55,[170 -02] 38797,August/Keeler,Feb-15,Dec-15
56,[170 -02] 38798,116th & 118th St. SIP,Feb-16,Jun-16
57,[170 -02] 38799,S. Oglesby Ave./E. 97th St. S. Luella Ave. E. 9,Feb-16,Jun-16
58,[170 -02] 38802,128th/Torrence,Feb-16,Jun-16
59,[170 -02] 38803,101st St/Damen,Feb-16,May-16
60,[170 -02] 38818,95th St/Cottage Grove Av,May-16,Sep-16
61,[170 -02] 38831,Longwood/117th/116th,Jul-15,Nov-15
62,[170 -02] 38832,75th St./Evans,Sep-15,Jan-16
63,[170 -02] 38833,76th St./Wentworth/Yale,Jul-15,Nov-15
64,[170 -02] 38880,97th Storage,Mar-16,Jun-16
65,[170 -02] 38881,E 92nd St from Anthony to Essex,Feb-16,Jun-16
66,[170 -02] 38883,E. 95th St./Oglesby Av.,Mar-16,Jul-16
67,[170 -02] 38884,S. Merrill Av/E. 82nd St./S. Jeffery Av./E. 80th,Mar-16,Jul-16
68,[170 -02] 38885,"Avenue ""L"" / 110th St.",Mar-16,Jul-16
69,[170 -02] 38889,92nd & St. Lawrence,Mar-16,Jul-16
70,[170 -02] 38890,Hiawatha/Peterson,Mar-16,Jul-16
71,[170 -02] 38891,N. Leoti Av./N. Spokane Av./W. Devon Av.,Mar-16,Jul-16
72,[170 -02] 38893,W. Chicago Av./N. Christiana Av./N. Homan Av./W.,Mar-16,Jul-16
73,[170 -02] 38894,South Bishop,Mar-16,Jul-16
74,[170 -02] 39007,2018 Ancillary Services,Jan-18,Dec-18
75,[170 -02] 39020,2018 CDOT - DEO,Jan-18,Dec-18
76,[170 -02] 39021,2018 CDOT - Materials QA,Jan-18,Dec-18
77,[170 -02] 39022,2018 - Construction Management,Jan-18,Dec-18
78,[170 -02] 39023,2018 - Design Consultants,Jan-18,Dec-18
79,[170 -02] 39024,2018 - Green Infrastructure Improvements,Jan-18,Dec-18
80,[170 -02] 39025,2018 - In-House Construction Restoration,Jan-18,Dec-18
81,[170 -02] 39026,2018 Costs for PMO (CTR),Jan-18,Dec-18
82,[170 -02] 39030,2018 - Sewer Modeling,Jan-18,Dec-18
83,[170 -02] 39031,2018 - Sewer Structure Rehabilitation,Jan-18,Dec-18
84,[170 -02] 39036,2018 - Sewer Main Construction - In-House,Jan-18,Dec-18
85,[170 -02] 39041,2016 - Green Infrastructure Improvements,Jan-16,Dec-16
86,[170 -02] 39042,2017 - Green Infrastructure Improvements,Jan-17,Dec-17
87,[170 -02] 39054,W. Hollywood Av./N. Lincoln Av./N. Rockwell,Jun-16,Dec-16
88,[170 -02] 39099,Cottage Grove / 41st,Aug-15,Oct-15
89,[170 -02] 39344,Lunt/Coyle,Feb-16,May-16
90,[170 -02] 39462,Kenmore/Seminary/Diversey Sewer Improvement Project,Jul-15,Sep-15
91,[170 -02] 39464,Kingston & 75th St.,May-15,Oct-15
92,[170 -02] 39499,S. Perry Av./W. 113th Pl./W. 112th Pl./S. State,Feb-16,Jul-16
93,[170 -02] 39501,CSO/MS4 Rehabilitation Design/Build,Jan-15,Dec-16
94,[170 -02] 39559,N. Bernard St./Barry/Greensham,Jan-16,Mar-16
95,[170 -02] 39560,"104th St./Avenue ""E""",Feb-17,Jun-17
96,[170 -02] 39561,96th - S. Houston to Marquette,Feb-18,Jun-18
97,[170 -02] 39562,Halsted and 128th,Feb-17,Jun-17
98,[170 -02] 39563,54th St./Homan Ave./Christiana Ave.,Jan-17,Jun-17
99,[170 -02] 39564,E. 80th St./Evans/Vernon,Feb-17,Jun-17
100,[170 -02] 39565,S. Wood St. - W. 88th St. to 540 feet north/S. Hon,Feb-17,Jun-17
101,[170 -02] 39566,W. 43rd St. - S. Drake to S. Kedzie,Feb-17,Jun-17
102,[170 -02] 39567,Pratt/Oshkosh/Northwest Hwy/Ozark,Feb-18,Apr-18
103,[170 -02] 39568,Normal Avenue,Apr-17,Oct-17
104,[170 -02] 39569,W. 85th St. & S. Lawndale Ave.ue,Jan-17,Oct-17
105,[170 -02] 39570,E. 114th St/114th Pl./S. Forest Av.,Feb-18,Jun-18
106,[170 -02] 39575,W. Lawrence Av. - N. Cicero Ave. to N. Cicero Ave.,Apr-18,Aug-18
107,[170 -02] 39578,2019 In-House Construction,Jan-19,Dec-19
108,[170 -02] 39681,61st St. Langley to Rhodes,Jan-16,Mar-16
109,[170 -02] 39696,N. Albany Avenue,Mar-17,Jun-17
110,[170 -02] 39698,"Birchwood Ave., Howard St./Chase Ave./Seeley Ave.",Jan-17,Aug-17
111,[170 -02] 39704,S. Kolmar & W. 68th St.,May-16,Sep-16
112,[170 -02] 39705,S. Woodlawn Ave.,Mar-16,Jun-16
113,[170 -02] 39706,S. Archer Ave.; Rockwell to Sacramento,Mar-16,Aug-16
114,[170 -02] 39707,W. 46th Street Improvements,Mar-16,Aug-16
115,[170 -02] 39722,2019 Ancillary Sewer Construction,Jan-19,Dec-19
116,[170 -02] 39723,2019 In House Restoration,Jan-19,Dec-19
117,[170 -02] 39734,2019 Construction Management,Jan-19,Dec-19
118,[170 -02] 39736,2019 Design Services,Jan-19,Dec-19
119,[170 -02] 39737,2019 Sewer Modeling,Jan-19,Dec-19
120,[170 -02] 39738,2019 DWM PMO  Services,Jan-19,Dec-19
121,[170 -02] 39740,2019 CDOT - QA,Dec-19,Dec-19
122,[170 -02] 39745,2019 CDOT - DEO,Jan-19,Dec-19
123,[170 -02] 39754,2015 GIS UPDATING for Atlas Sheets,Jun-15,Dec-15
124,[170 -02] 39897,2019 - Green Infrastructure Improvements,Jan-19,Dec-19
