,Project_#,Project_Location
0,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave
1,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave
2,[170 -02] 37887,On S Avenue J From E 104th St To E 103rd St
3,[170 -02] 37887,W Palatine Ave And N Natoma Ave
4,[170 -02] 37887,W Ardmore Ave And N Austin Ave
5,[170 -02] 37887,W 77th St And S Perry Ave
6,[170 -02] 37887,W 73rd St And S Kedzie Ave
7,[170 -02] 37887,W 65th St And S Lawndale Ave
8,[170 -02] 37887,W 58th St And S Halsted St
9,[170 -02] 37887,W 52nd St And S Kedzie Ave
10,[170 -02] 37887,W 107th St And S Morgan St
11,[170 -02] 37887,W Polk St And S Pulaski Rd
12,[170 -02] 37887,S Morgan St And W 107th St
13,[170 -02] 37887,S Kostner Ave And W 81st Pl
14,[170 -02] 37887,S Emerald Ave And W 79th St
15,[170 -02] 37887,S Ashland Ave And W 108th Pl
16,[170 -02] 37887,N Sheffield Ave And W Wellington Ave
17,[170 -02] 37887,N Drake Ave And W Foster Ave
18,[170 -02] 37887,On W 77th St From S Union Ave To S Lowe Ave
19,[170 -02] 37887,On S Halsted St From W 78th St To W 79th St
20,[170 -02] 37887,S Perry Ave And W Marquette Rd
21,[170 -02] 37887,W 58th Pl And S Hamlin Ave
22,[170 -02] 37887,W 59th St And S Nashville Ave
23,[170 -02] 37887,W Madison St And N Menard Ave
24,[170 -02] 37887,W 77th St And S Emerald Ave
25,[170 -02] 37887,W 79th St And S Karlov Ave
26,[170 -02] 37887,W 52nd St And S Francisco Ave
27,[170 -02] 37887,W 66th St And S Pulaski Rd
28,[170 -02] 37887,W 104th St And S Hoyne Ave
29,[170 -02] 37887,N Washtenaw Ave And W Argyle St
30,[170 -02] 37887,S Lafayette Ave And W 115th St
31,[170 -02] 37887,S Karlov Ave And W 79th St
32,[170 -02] 37887,S Carpenter St And W 64th St
33,[170 -02] 37887,N Elston Ave And W Augusta Blvd
34,[170 -02] 37887,E 43rd St And S Vernon Ave
35,[170 -02] 37887,On W 62nd St From S Ashland Ave To S Laflin St
36,[170 -02] 37887,On S Green Bay Ave From E 103rd St To E 106th St
