,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -02] 3204,SBF,"4,546,613",0,0,"4,546,613"
1,[170 -02] 32926,0F24,"3,900,000",0,"3,900,000","3,900,000"
2,[170 -02] 33346,0F24,"20,160,000","20,160,000",0,0
3,[170 -02] 33467,SBF,"3,355,570",0,0,"3,355,570"
4,[170 -02] 35683,0F24,"2,700,000",0,"2,700,000","2,700,000"
5,[170 -02] 36040,SBF,"2,010,137",0,"2,010,137","2,010,137"
6,[170 -02] 36338,0F16,"900,000",0,"900,000","900,000"
7,[170 -02] 36850,0F19,"3,000,000",0,"3,000,000","3,000,000"
8,[170 -02] 36850,0F24,"3,100,000",0,"3,100,000","3,100,000"
9,[170 -02] 36851,0F19,"4,000,000",0,0,"4,000,000"
10,[170 -02] 36851,SBF,"2,260,000",0,0,"2,260,000"
11,[170 -02] 37792,0F24,"17,000,000",0,"17,000,000","17,000,000"
12,[170 -02] 37793,0F24,"37,000,000",0,"37,000,000","37,000,000"
13,[170 -02] 37794,0F19,"20,000,000",0,0,"20,000,000"
14,[170 -02] 37794,SBF,"18,190,000",0,0,"18,190,000"
15,[170 -02] 37887,0F19,"10,000,000",0,0,"10,000,000"
16,[170 -02] 37887,SBF,"7,500,000",0,0,"7,500,000"
17,[170 -02] 37904,0F24,"310,000",0,"310,000","310,000"
18,[170 -02] 37905,SBF,"320,000",0,0,"320,000"
19,[170 -02] 37908,0F24,"1,270,000",0,"1,270,000","1,270,000"
20,[170 -02] 37909,SBF,"1,310,000",0,0,"1,310,000"
21,[170 -02] 37911,0F24,"1,300,000",0,"1,300,000","1,300,000"
22,[170 -02] 37912,SBF,"61,000",0,0,"61,000"
23,[170 -02] 37915,0F19,"6,000,000",0,"6,000,000","6,000,000"
24,[170 -02] 37915,0F24,"6,000,000",0,"6,000,000","6,000,000"
25,[170 -02] 37916,0F19,"6,000,000",0,0,"6,000,000"
26,[170 -02] 37916,SBF,"4,820,000",0,0,"4,820,000"
27,[170 -02] 37918,0F19,"8,000,000",0,"8,000,000","8,000,000"
28,[170 -02] 37918,0F24,"8,000,000",0,"8,000,000","8,000,000"
29,[170 -02] 37919,0F19,"12,000,000",0,0,"12,000,000"
30,[170 -02] 37919,SBF,"8,760,000",0,0,"8,760,000"
31,[170 -02] 38041,0F24,"8,200,000","8,200,000",0,0
32,[170 -02] 38047,0F24,"1,900,000",0,"1,900,000","1,900,000"
33,[170 -02] 38056,0F16,"3,100,000","3,100,000",0,0
34,[170 -02] 38113,0F19,"1,800,000","1,800,000",0,0
35,[170 -02] 38307,0F19,"10,000,000",0,0,"10,000,000"
36,[170 -02] 38307,SBF,"8,030,000",0,0,"8,030,000"
37,[170 -02] 38310,0F19,"10,000,000",0,0,"10,000,000"
38,[170 -02] 38310,SBF,"8,580,000",0,0,"8,580,000"
39,[170 -02] 38313,SBF,"330,000",0,0,"330,000"
40,[170 -02] 38314,SBF,"1,350,000",0,0,"1,350,000"
41,[170 -02] 38316,SBF,"63,000",0,0,"63,000"
42,[170 -02] 38318,0F19,"2,000,000",0,0,"2,000,000"
43,[170 -02] 38318,SBF,"4,450,000",0,0,"4,450,000"
44,[170 -02] 38319,0F19,"3,000,000",0,0,"3,000,000"
45,[170 -02] 38319,SBF,"8,150,000",0,0,"8,150,000"
46,[170 -02] 38331,SBF,"1,200,000",0,0,"1,200,000"
47,[170 -02] 38380,0F24,"1,130,000",0,"1,130,000","1,130,000"
48,[170 -02] 38381,SBF,"1,170,000",0,0,"1,170,000"
49,[170 -02] 38382,0F19,"1,700,000",0,"1,700,000","1,700,000"
50,[170 -02] 38383,0F19,"900,000",0,"900,000","900,000"
51,[170 -02] 38386,0F24,"12,600,000",0,"12,600,000","12,600,000"
52,[170 -02] 38390,0F19,"5,600,000","1,300,000","4,300,000","4,300,000"
53,[170 -02] 38406,0F24,"6,300,000",0,"6,300,000","6,300,000"
54,[170 -02] 38407,0F24,"3,600,000",0,"3,600,000","3,600,000"
55,[170 -02] 38412,0F24,"2,900,000",0,"2,900,000","2,900,000"
56,[170 -02] 38784,SBF,"2,862,860",0,0,"2,862,860"
57,[170 -02] 38786,0F24,"3,100,000",0,"3,100,000","3,100,000"
58,[170 -02] 38787,0F24,"2,400,000",0,0,"2,400,000"
59,[170 -02] 38788,0F24,"4,000,000",0,"4,000,000","4,000,000"
60,[170 -02] 38789,0J63,"3,500,000",0,"3,500,000","3,500,000"
61,[170 -02] 38790,0F24,"4,400,000",0,"4,400,000","4,400,000"
62,[170 -02] 38791,0F24,"3,300,000",0,"3,300,000","3,300,000"
63,[170 -02] 38792,0J63,"2,940,000",0,0,"2,940,000"
64,[170 -02] 38794,0J63,"2,100,000",0,"2,100,000","2,100,000"
65,[170 -02] 38795,0J63,"2,349,153",0,0,"2,349,153"
66,[170 -02] 38796,0J63,"3,480,000",0,"3,480,000","3,480,000"
67,[170 -02] 38797,0J63,"2,780,000",0,"2,780,000","2,780,000"
68,[170 -02] 38798,0F24,"2,500,000",0,0,"2,500,000"
69,[170 -02] 38799,0J63,"3,080,000",0,0,"3,080,000"
70,[170 -02] 38799,SBF,"2,540,000",0,0,"2,540,000"
71,[170 -02] 38802,0J63,"1,680,000",0,0,"1,680,000"
72,[170 -02] 38803,0F24,"4,500,000",0,"4,500,000","4,500,000"
73,[170 -02] 38818,0F19,"2,000,000",0,0,"2,000,000"
74,[170 -02] 38831,0F24,"4,200,000",0,"4,200,000","4,200,000"
75,[170 -02] 38832,0J63,"2,069,383",0,"2,069,383","2,069,383"
76,[170 -02] 38833,0F24,"3,000,000",0,"3,000,000","3,000,000"
77,[170 -02] 38880,0F19,"2,139,423",0,0,"2,139,423"
78,[170 -02] 38881,0J63,"880,000",0,0,"880,000"
79,[170 -02] 38881,SBF,"880,000",0,0,"880,000"
80,[170 -02] 38883,0J63,"890,000",0,0,"890,000"
81,[170 -02] 38884,SBF,"3,270,848",0,0,"3,270,848"
82,[170 -02] 38885,SBF,"6,962,340",0,0,"6,962,340"
83,[170 -02] 38889,0F19,"2,262,744",0,0,"2,262,744"
84,[170 -02] 38890,0F19,"2,130,000",0,0,"2,130,000"
85,[170 -02] 38891,SBF,"4,600,000",0,0,"4,600,000"
86,[170 -02] 38893,SBF,"4,716,500",0,0,"4,716,500"
87,[170 -02] 38894,SBF,"2,512,640",0,0,"2,512,640"
88,[170 -02] 39007,0F19,"10,000,000",0,0,"10,000,000"
89,[170 -02] 39007,SBF,"8,570,000",0,0,"8,570,000"
90,[170 -02] 39020,SBF,"1,390,000",0,0,"1,390,000"
91,[170 -02] 39021,SBF,"340,000",0,0,"340,000"
92,[170 -02] 39022,0F19,"6,000,000",0,0,"6,000,000"
93,[170 -02] 39022,SBF,"5,480,000",0,0,"5,480,000"
94,[170 -02] 39023,SBF,"6,640,000",0,0,"6,640,000"
95,[170 -02] 39024,SBF,"11,500,000",0,0,"11,500,000"
96,[170 -02] 39025,0F19,"10,000,000",0,0,"10,000,000"
97,[170 -02] 39025,SBF,"9,130,000",0,0,"9,130,000"
98,[170 -02] 39026,SBF,"1,240,000",0,0,"1,240,000"
99,[170 -02] 39030,SBF,"65,000",0,0,"65,000"
100,[170 -02] 39031,0F19,"10,000,000",0,0,"10,000,000"
101,[170 -02] 39031,SBF,"9,700,000",0,0,"9,700,000"
102,[170 -02] 39036,SBF,"40,520,000",0,0,"40,520,000"
103,[170 -02] 39041,SBF,"11,580,000",0,0,"11,580,000"
104,[170 -02] 39042,SBF,"11,500,000",0,0,"11,500,000"
105,[170 -02] 39054,SBF,"3,960,155",0,0,"3,960,155"
106,[170 -02] 39099,0F24,"3,500,000",0,"3,500,000","3,500,000"
107,[170 -02] 39344,0F19,"6,000,000",0,0,"6,000,000"
108,[170 -02] 39344,SBF,"4,000,000",0,0,"4,000,000"
109,[170 -02] 39462,0F24,"1,500,000",0,"1,500,000","1,500,000"
110,[170 -02] 39464,0F24,"2,500,000",0,"2,500,000","2,500,000"
111,[170 -02] 39499,SBF,"2,422,660",0,0,"2,422,660"
112,[170 -02] 39501,0F24,"2,500,000",0,"2,500,000","2,500,000"
113,[170 -02] 39559,SBF,"2,778,000",0,0,"2,778,000"
114,[170 -02] 39560,SBF,"4,716,990",0,0,"4,716,990"
115,[170 -02] 39561,SBF,"2,000,000",0,0,"2,000,000"
116,[170 -02] 39562,SBF,"3,335,000",0,0,"3,335,000"
117,[170 -02] 39563,SBF,"3,250,000",0,0,"3,250,000"
118,[170 -02] 39564,SBF,"2,920,000",0,0,"2,920,000"
119,[170 -02] 39565,SBF,"1,546,000",0,0,"1,546,000"
120,[170 -02] 39566,SBF,"2,998,200",0,0,"2,998,200"
121,[170 -02] 39567,SBF,"2,510,000",0,0,"2,510,000"
122,[170 -02] 39568,SBF,"4,543,000",0,0,"4,543,000"
123,[170 -02] 39569,SBF,"1,575,000",0,0,"1,575,000"
124,[170 -02] 39570,SBF,"1,566,000",0,0,"1,566,000"
125,[170 -02] 39575,SBF,"3,000,000",0,0,"3,000,000"
126,[170 -02] 39578,SBF,"41,700,000",0,0,"41,700,000"
127,[170 -02] 39681,SBF,"960,319",0,0,"960,319"
128,[170 -02] 39696,SBF,"2,035,000",0,0,"2,035,000"
129,[170 -02] 39698,SBF,"4,652,000",0,0,"4,652,000"
130,[170 -02] 39704,SBF,"2,385,912",0,0,"2,385,912"
131,[170 -02] 39705,SBF,"2,212,019",0,0,"2,212,019"
132,[170 -02] 39706,SBF,"4,906,879",0,0,"4,906,879"
133,[170 -02] 39707,SBF,"2,792,615",0,0,"2,792,615"
134,[170 -02] 39722,0F19,"10,000,000",0,0,"10,000,000"
135,[170 -02] 39722,SBF,"9,130,000",0,0,"9,130,000"
136,[170 -02] 39723,0F19,"10,000,000",0,0,"10,000,000"
137,[170 -02] 39723,SBF,"9,710,000",0,0,"9,710,000"
138,[170 -02] 39734,0F19,"6,000,000",0,0,"6,000,000"
139,[170 -02] 39734,SBF,"5,820,000",0,0,"5,820,000"
140,[170 -02] 39736,0F19,"4,000,000",0,0,"4,000,000"
141,[170 -02] 39736,SBF,"3,840,000",0,0,"3,840,000"
142,[170 -02] 39737,SBF,"670,000",0,0,"670,000"
143,[170 -02] 39738,SBF,"1,280,000",0,0,"1,280,000"
144,[170 -02] 39740,SBF,"350,000",0,0,"350,000"
145,[170 -02] 39745,SBF,"1,430,000",0,0,"1,430,000"
146,[170 -02] 39754,0F19,"2,200,000",0,"2,200,000","2,200,000"
147,[170 -02] 39897,SBF,"11,500,000",0,0,"11,500,000"
