,Project_#,Project_Location
82,[170 -04] 37898,On S Evans Ave From E 67th St To E 69th St
83,[170 -04] 37898,On E 69th St From S Langley Ave To S Cottage Grove Ave
84,[170 -04] 37898,On N Ada St From N Ogden Ave To W Madison St
85,[170 -04] 37898,On N Albany Ave From W Lawrence Ave To W Leland Ave
86,[170 -04] 37898,On N Bishop St From W Washington Blvd To W Madison St
87,[170 -04] 37898,On N Campbell Ave From W Altgeld St To W Fullerton Ave
88,[170 -04] 37898,On N Central Park Ave From W Grand Ave To W Iowa St
89,[170 -04] 37898,On N Claremont Ave From N Division St To N Potomac Ave
90,[170 -04] 37898,On N Cumberland Ave From W Irving Park Rd To W Berteau Ave
91,[170 -04] 37898,On N Damen Ave From W Ohio St To W Superior St
92,[170 -04] 37898,On N Hamlin Ave From W Cornelia Ave To W Roscoe St
93,[170 -04] 37898,On N Long Ave From W Wabansia Ave To W North Ave
94,[170 -04] 37898,On N Harding Ave From W Wrightwood Ave To W Altgeld St
95,[170 -04] 37898,On N Justine St From W Arbour Pl To W Lake St
96,[170 -04] 37898,On N Keene Ave From N Sauganash Ave To N Ionia Ave
97,[170 -04] 37898,On N Kildare Ave From W Lake St To W Maypole Ave
98,[170 -04] 37898,On N Kirby Ave From N Caldwell Ave To N Kercheval Ave
99,[170 -04] 37898,On N Kostner Ave From W Lake St To W Maypole Ave
100,[170 -04] 37898,On N Laflin St From W Arbour Pl To W Lake St
101,[170 -04] 37898,On N Laramie Ave From W Concord Pl To W North Ave
102,[170 -04] 37898,On N Lawndale Ave From W Argyle St To W Lawrence Ave
103,[170 -04] 37898,On N Leavitt St From W Kinzie St To W Grand Ave
104,[170 -04] 37898,On N Lincoln Ave From N Kedzie Ave To W Peterson Ave
105,[170 -04] 37898,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave
106,[170 -04] 37898,On N Homan Ave From W Fulton Blvd To W Lake St
107,[170 -04] 37898,On S Greenwood Ave From E 65th St To E 67th St
108,[170 -04] 37898,On S Hamilton Ave From S Archer Ave To W 37th St
109,[170 -04] 37898,On W 54th St From S Linder Ave To S Laramie Ave
110,[170 -04] 37898,On W 55th St From S Central Ave To S Laramie Ave
111,[170 -04] 37898,On W 57th St From S Hermitage Ave To S Ashland Ave
112,[170 -04] 37898,On W 57th St From S Mobile Ave To S Mason Ave
113,[170 -04] 37898,On W 59th St From S Kedzie Ave To S Rockwell St
114,[170 -04] 37898,On W 59th St From S Narragansett Ave To S Melvina Ave
115,[170 -04] 37898,On W 60th St From S Paulina St To S Ashland Ave
116,[170 -04] 37898,On W 62nd St From S New England Ave To S Oak Park Ave
117,[170 -04] 37898,On W 74th St From S St Louis Ave To S Homan Ave
118,[170 -04] 37898,On W 83rd St From S St Louis Ave To S Homan Ave
119,[170 -04] 37898,On W 87th St From S Paulina St To S Ashland Ave
120,[170 -04] 37898,On W 54th St From S Central Ave To S Linder Ave
121,[170 -04] 37898,On W Ainslie St From N Lavergne Ave To N Cicero Ave
122,[170 -04] 37898,On W Arthur Ave From N Harlem Ave To N Neva Ave
123,[170 -04] 37898,On W Belmont Ave From N Oconto Ave To N Harlem Ave
124,[170 -04] 37898,On W Berenice Ave From N Narragansett Ave To N Mobile Ave
125,[170 -04] 37898,On W Carroll Ave From N Homan Ave To N Albany Ave
126,[170 -04] 37898,On W Catalpa Ave From N Paulina St To N Ashland Ave
127,[170 -04] 37898,On W Congress Pkwy From S Wood St To S Ashland Ave
128,[170 -04] 37898,On W Eddy St From N Austin Ave To N Marmora Ave
129,[170 -04] 37898,On W Gunnison St From N Menard Ave To N Central Ave
130,[170 -04] 37898,On W Henderson St From N Melvina Ave To N Meade Ave
131,[170 -04] 37898,On W Lake St From N California Ave To N Washtenaw Ave
132,[170 -04] 37898,On W Lake St From N Central Park Ave To N Sacramento Blvd
133,[170 -04] 37898,On W Ainslie St From N Menard Ave To W Grover St
134,[170 -04] 37898,On W 53rd St From S Loomis Blvd To S Bishop St
135,[170 -04] 37898,On W Lexington St From S Loomis St To S Ada St
136,[170 -04] 37898,On W 50th St From S Leavitt St To S Hoyne Ave
137,[170 -04] 37898,On S Hermitage Ave From W 69th St To W 70th St
138,[170 -04] 37898,On S Honore St From W 72nd St To W 73rd St
139,[170 -04] 37898,On S Hoyne Ave From W 49th Pl To W 50th St
140,[170 -04] 37898,On S Justine St From W 34th St To W 35th St
141,[170 -04] 37898,On S Kolmar Ave From W 59th St To W 60th St
142,[170 -04] 37898,On S Laflin St From W Jackson Blvd To W Van Buren St
143,[170 -04] 37898,On W 50th St From S Wolcott Ave To S Honore St
144,[170 -04] 37898,On S Maplewood Ave From W 66th St To W Marquette Rd
145,[170 -04] 37898,On S May St From W 77th St To W 78th St
146,[170 -04] 37898,On S Merrill Ave From E 69th St To E 70th St
147,[170 -04] 37898,On S Morgan St From W 32nd Pl To W 32nd St
148,[170 -04] 37898,On S Mozart St From W 82nd St To W 83rd St
149,[170 -04] 37898,On S Long Ave From W 51st St To S Archer Ave
150,[170 -04] 37898,On S Normandy Ave From W 54th St To W Archer Ave
151,[170 -04] 37898,On S Paulina St From S Archer Ave To W 33rd St
152,[170 -04] 37898,On S Richmond St From W 80th St To W 81st St
153,[170 -04] 37898,On S Seeley Ave From W 35th St To W 37th St
154,[170 -04] 37898,On S South Chicago Ave From E 73rd St To E 74th St
155,[170 -04] 37898,On S Union Ave From W 72nd St To W 33rd St
156,[170 -04] 37898,On S Wallace St From W 69th St To W 71st St
157,[170 -04] 37898,On S Washtenaw Ave From W 80th St To W 81st St
158,[170 -04] 37898,On S Winchester Ave From W 69th St To W 70th St
159,[170 -04] 37898,On S Yale Ave From W 70th St To W 71st St
160,[170 -04] 37898,On W 32nd St From S Hamilton Ave To S Hoyne Ave
161,[170 -04] 37898,On S Newcastle Ave From W 51st St To W 52nd St
162,[170 -04] 37898,On W 80th Pl From S Hoyne Ave To S Damen Ave
163,[170 -04] 37898,On W 71st St From S Bell Ave To S Halsted St
164,[170 -04] 37898,On W 61st St From S Peoria St To S Halsted St
165,[170 -04] 37898,On W 60th St From S Kilpatrick Ave To S Kolmar Ave
166,[170 -04] 37898,On W 54th St From S Laflin St To S Loomis Blvd
167,[170 -04] 37898,On W 58th St From S Paulina St To S Ashland Ave
168,[170 -04] 37898,On W 57th St From S Massasoit Ave To S Central Ave
169,[170 -04] 37898,On W 56th St From S Hermitage Ave To S Paulina St
170,[170 -04] 37898,On W 54th St From S Paulina St To S Ashland Ave
171,[170 -04] 37898,On W 59th St From S Melvina Ave To S Mason Ave
172,[170 -04] 37898,On W 87th St From S Damen Ave To S Wood St
173,[170 -04] 37898,On W Lake St From N Campbell Ave To N Leavitt St
174,[170 -04] 37898,On W Ainslie St From N Marmora Ave To N Menard Ave
175,[170 -04] 37898,On W Argyle St From N Melvina Ave To N Moody Ave
176,[170 -04] 37898,On W Barry Ave From N Leclaire Ave To N Lavergne Ave
177,[170 -04] 37898,On W Belmont Ave From N Olcott Ave To N Oketo Ave
178,[170 -04] 37898,On W Carroll Ave From N Albany Ave To N Sacramento Blvd
179,[170 -04] 37898,On W Carroll Ave From N Kedzie Ave To N Albany Ave
180,[170 -04] 37898,On W Columbus Ave From S Kedzie Ave To W 77th St
181,[170 -04] 37898,On W Eastwood Ave From N Kedzie Ave To N Sacramento Ave
182,[170 -04] 37898,On W Fulton Blvd From N Homan Ave To N Albany Ave
183,[170 -04] 37898,On W Gunnison St From N Nagle Ave To N Mason Ave
184,[170 -04] 37898,On W Howard St From N Oconto Ave To N Odell Ave
185,[170 -04] 37898,On W 53rd St From S Paulina St To S Ashland Ave
186,[170 -04] 37898,On W Adams St From S Western Ave To S Leavitt St
187,[170 -04] 37898,On W 53rd St From S Hoyne Ave To S Damen Ave
188,[170 -04] 37898,On S Newland Ave From W 51st St To W 52nd St
189,[170 -04] 37898,On W 46th St From S Ashland Ave To S Mcdowell Ave
190,[170 -04] 37898,On W Lexington St From S Laflin St To S Loomis St
191,[170 -04] 37898,On S Harvard Ave From W 71st St To W 73rd St
192,[170 -04] 37898,On S Homan Ave From W 112th Pl To W 115th St
193,[170 -04] 37898,On S Hoyne Ave From W 35th St To W 37th St
194,[170 -04] 37898,On S Iron St From W 34th St To W 35th St
195,[170 -04] 37898,On S Karlov Ave From W 84th St To W 85th St
196,[170 -04] 37898,On S Komensky Ave From W 85th St To W 86th St
197,[170 -04] 37898,On S Laflin St From W Madison St To W Monroe St
198,[170 -04] 37898,On S Loomis Blvd From W 85th St To W 87th St
