,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
136,[170 -02] 41317,SBOF,"6,620,000",0,0,"6,620,000"
137,[170 -02] 41318,SPGO,"1,020,000",0,0,"1,020,000"
138,[170 -02] 41319,SBOF,"2,120,000",0,0,"2,120,000"
139,[170 -02] 41320,SPGO,"900,000",0,0,"900,000"
140,[170 -02] 41321,SBOF,"300,000",0,0,"300,000"
141,[170 -02] 41322,SBOF,"4,780,000",0,0,"4,780,000"
142,[170 -02] 41322,SPGO,"530,000",0,0,"530,000"
143,[170 -02] 41421,0F19,"200,000",0,"200,000","200,000"
144,[170 -02] 41927,0F19,"292,066",0,"292,066","292,066"
145,[170 -02] 41927,0F59,"2,595,521",0,"2,595,521","2,595,521"
146,[170 -02] 41994,SPGO,"10,350,000",0,0,"10,350,000"
147,[170 -02] 41995,SBOF,"15,700,000",0,0,"15,700,000"
148,[170 -02] 41997,SBOF,"4,000,000",0,0,"4,000,000"
149,[170 -02] 41998,SBOF,"22,350,000",0,0,"22,350,000"
150,[170 -02] 42000,SBOF,"4,390,000",0,0,"4,390,000"
151,[170 -02] 42001,SBOF,"1,040,000",0,0,"1,040,000"
152,[170 -02] 42002,SBOF,"1,220,000",0,0,"1,220,000"
153,[170 -02] 42003,SPGO,"900,000",0,0,"900,000"
154,[170 -02] 42004,SBOF,"300,000",0,0,"300,000"
155,[170 -02] 42005,SBOF,"4,870,000",0,0,"4,870,000"
156,[170 -02] 42042,SBOF,"10,910,000",0,0,"10,910,000"
