,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -04] 37898,0F19,"17,300,607","12,300,607","5,000,000","5,000,000"
1,[170 -04] 37898,0F40,"49,728,975","29,728,975","20,000,000","20,000,000"
8,[170 -04] 38342,0F19,"2,000,000",0,"2,000,000","2,000,000"
9,[170 -04] 38342,0F40,"13,271,025",0,"13,271,025","13,271,025"
14,[170 -04] 39029,SBF,"58,427,000",0,0,"58,427,000"
15,[170 -04] 39743,SBF,"60,200,000",0,0,"60,200,000"
16,[170 -04] 40397,SBF,"62,000,000",0,0,"62,000,000"
17,[170 -04] 40895,SBF,"63,816,000",0,0,"63,816,000"
18,[170 -04] 40990,0180,"2,081,789",0,"2,081,789","2,081,789"
