,Project_#,Project_Location
0,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave
1,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave
2,[170 -02] 38307,On S Ada St From W 79th St To W 77th St
3,[170 -02] 38307,On W 77th St From S Loomis Blvd To S Bishop St
4,[170 -02] 38307,On W 77th St From S Ada St To S Throop St
5,[170 -02] 38309,On E 86th St From S Jeffery Blvd To S Cregier Ave
6,[170 -02] 38309,On W 50th St From S Western Ave To S Oakley Ave
7,[170 -02] 38309,On W 54th St From S Kenneth Ave To S Kolin Ave
8,[170 -02] 38309,On W 62nd St From S Hamlin Ave To S Lawndale Ave
9,[170 -02] 38309,On W Albion Ave From N Sayre Ave To N Nixon Ave
10,[170 -02] 38309,On W Byron St From N Sayre Ave To N Nottingham Ave
11,[170 -02] 38309,On W Carmen Ave From N Ravenswood Ave To N Paulina St
12,[170 -02] 38309,On W Cortland St From N Sayre Ave To N Neva Ave
13,[170 -02] 38309,On W Estes Ave From N Ionia Ave To N Mason Ave
14,[170 -02] 38309,On W Hirsch St From N Spaulding Ave To N Kedzie Ave
15,[170 -02] 38309,On W Madison St From S Francisco Ave To S Sacramento Blvd
16,[170 -02] 38309,On W Ohio St From N Kedzie Ave To N Albany Ave
17,[170 -02] 38309,On W 46th St From S Laflin St To S Bishop St
18,[170 -02] 38309,On W School St From N Octavia Ave To N Oconto Ave
19,[170 -02] 38309,On W Washington Blvd From N Laramie Ave To N Latrobe Ave
20,[170 -02] 38309,On W Winnemac Ave From N Glenwood Ave To N Clark St
21,[170 -02] 38309,N Kentucky Ave And N Kilbourn Ave
22,[170 -02] 38309,N Oketo Ave And W School St
23,[170 -02] 38309,N Spaulding Ave And N Elston Ave
24,[170 -02] 38309,S Christiana Ave And W 54th St
25,[170 -02] 38309,S Drake Ave And W Cermak Rd
26,[170 -02] 38309,S Lafayette Ave And W 122nd St
27,[170 -02] 38309,S Perry Ave And W 122nd St
28,[170 -02] 38309,W 60th St And W 62nd St
29,[170 -02] 38309,W Cullom Ave And N Campbell Ave
30,[170 -02] 38309,On W School St From N Western Ave To N Claremont Ave
