,Project_#,Project_Location
0,[170 -04] 37898,On E 69th St From S Anthony Ave To S Vernon Ave
1,[170 -04] 37898,On N Long Ave From W Wabansia Ave To W North Ave
2,[170 -04] 37898,On N Lorel Ave From W Altgeld St To W Fullerton Ave
3,[170 -04] 37898,On N Maplewood Ave From W Peterson Ave To W Thorndale Ave
4,[170 -04] 37898,On N Meade Ave From W Foster Ave To W Argyle St
5,[170 -04] 37898,On N Melvina Ave From W Bloomingdale Ave To W Wabansia Ave
6,[170 -04] 37898,On N Milwaukee Ave From W Carmen Ave To W Foster Ave
7,[170 -04] 37898,On N Milwaukee Ave From W Diversey Ave To N Kedzie Ave
8,[170 -04] 37898,On N Monitor Ave From W Thomas St To W Augusta Blvd
9,[170 -04] 37898,On N Narragansett Ave From W Berenice Ave To W Warwick Ave
10,[170 -04] 37898,On N New England Ave From W Diversey Ave To W Schubert Ave
11,[170 -04] 37898,On N Newland Ave From W Dickens Ave To W Armitage Ave
12,[170 -04] 37898,On N Lincoln Ave From W Devon Ave To N Jersey Ave
13,[170 -04] 37898,On N Newland Ave From W Wrightwood Ave To W Grand Ave
14,[170 -04] 37898,On N Oak Park Ave From W Altgeld St To W Grand Ave
15,[170 -04] 37898,On N Oconto Ave From W Howard St To W Birchwood Ave
16,[170 -04] 37898,On N Octavia Ave From W Howard St To W Birchwood Ave
17,[170 -04] 37898,On N Paris Ave From W Addison St To W Forest Preserve Ave
18,[170 -04] 37898,On N Paulina St From W Ainslie St To W Lawrence Ave
19,[170 -04] 37898,On N Pontiac Ave From W School St To W Belmont Ave
20,[170 -04] 37898,On N Sheffield Ave From W Wellington Ave To W Diversey Pkwy
21,[170 -04] 37898,On N Springfield Ave From W Fullerton Ave To W Shakespeare Ave
22,[170 -04] 37898,On N Talman Ave From W Altgeld St To W Fullerton Ave
23,[170 -04] 37898,On N Woodard St From N Milwaukee Ave To N Spaulding Ave
24,[170 -04] 37898,On S Archer Ave From S Central Ave To S Long Ave
25,[170 -04] 37898,On N Normandy Ave From W Barry Ave To W Wellington Ave
26,[170 -04] 37898,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave
27,[170 -04] 37898,On S Archer Ave From S Linder Ave To S Long Ave
28,[170 -04] 37898,On N Leclaire Ave From W Erie St To W Ferdinand St
29,[170 -04] 37898,On E 73rd St From S Blackstone Ave To S Stony Island Ave
30,[170 -04] 37898,On N Ada St From W Hubbard St To W Kinzie St
31,[170 -04] 37898,On N Ashland Ave From W Edgewater Ave To W Bryn Mawr Ave
