,Project_#,Project_Location
0,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave
1,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave
2,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave
3,[170 -02] 32926,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave
4,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave
5,[170 -02] 32989,On E 77th St From S Blackstone Ave To S Dante Ave
6,[170 -02] 32989,On S Blackstone Ave From E 76th St To E 77th St
7,[170 -02] 33346,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave
8,[170 -02] 33346,N Cicero Ave And W Lawrence Ave
9,[170 -02] 33467,On N Claremont Ave From W Eastwood Ave To W Wilson Ave
10,[170 -02] 33467,On W Leland Ave From N Lincoln Ave To N Leavitt St
11,[170 -02] 33467,On W Lawrence Ave From N Oakley Ave To N Leavitt St
12,[170 -02] 35683,On E 69th St From S Langley Ave To S St Lawrence Ave
13,[170 -02] 35683,On S Langley Ave From E 68th St To E 67th St
14,[170 -02] 36174,On E 101st St From S Avenue N To S Ewing Ave
15,[170 -02] 36174,S Avenue J And E 99th St
16,[170 -02] 36174,On E 99th St From S Ewing Ave To S Avenue J
17,[170 -02] 37794,On E 100th St From S Avenue N To S Ewing Ave
18,[170 -02] 37794,On W 106th St From S Lowe Ave To S Wallace St
19,[170 -02] 37794,On W 109th St From S Ashland Ave To S Vincennes Ave
20,[170 -02] 37794,On W 47th St From S Paulina St To S Honore St
21,[170 -02] 37794,On W 52nd St From S Francisco Ave To S Richmond St
22,[170 -02] 37794,On W 52nd St From S Richmond St To S Sacramento Ave
23,[170 -02] 37794,On W 53rd St From S Richmond St To S Kedzie Ave
24,[170 -02] 37794,On W 58th St From S Halsted St To S Carpenter St
25,[170 -02] 37794,On W 66th St From S Pulaski Rd To S Hamlin Ave
26,[170 -02] 37794,On W 77th St From S Ashland Ave To S Laflin St
27,[170 -02] 37794,On W 78th Pl From S Kedvale Ave To S Keeler Ave
28,[170 -02] 37794,On W 81st St From S Kenneth Ave To S Kolmar Ave
