,Project_#,Project_Location
0,170 02 0465 / 2917,On E 87th St From S Colfax Ave To S Essex Ave
1,170 02 0465 / 2917,On E 87th St From S Muskegon Ave To S Escanaba Ave
2,170 02 0465 / 2917,On E 88th St From S Colfax Ave To S Marquette Ave
3,170 02 0465 / 2917,On S Saginaw Ave From E 87th St To E 88th St
4,170 02 0465 / 2917,S Essex Ave And S South Chicago Ave
5,170 02 0465 / 2917,On E 87th St From S Colfax Ave To S Saginaw Ave
6,170 02 0465 / 2917,On E 87th St From S Saginaw Ave To S Muskegon Ave
7,170 02 0465 / 2917,On E 89th St From S Muskegon Ave To S Escanaba Ave
8,170 02 0465 / 2917,On S South Chicago Ave From S Kingston Ave To S Essex Ave
9,170 02 0465 / 2917,On E 87th St From S Marquette Ave To S Escanaba Ave
10,170 02 0465 / 2917,On E 88th St From S Colfax Ave To S Kingston Ave
11,170 02 0465 / 2917,On S Marquette Ave From E 88th St To E 87th St
12,170 02 0465 / 2917,E 87th St And S Colfax Ave
13,170 02 0042 / 3204,On E 130th St From S Torrence Ave To S Brandon Ave
14,170 02 0042 / 3204,On S Brandon Ave From E 130th St To S Brainard Ave
15,170 02 / 32926,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave
16,170 02 / 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave
17,170 02 / 32926,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave
18,170 02 / 33346,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave
19,170 02 / 33346,N Cicero Ave And W Lawrence Ave
20,170 02 / 35683,On E 69th St From S Langley Ave To S St Lawrence Ave
21,170 02 / 35683,On S Langley Ave From E 68th St To E 67th St
22,170 02 / 36058,E 130th St And S Torrence Ave
23,170 02 / 36337,On E 107th St From S Avenue O To S State Line Rd
24,170 02 / 36338,On S Avenue O From E 133rd St To E 135th St
25,170 02 / 36364,On S Albany Ave From W 83rd St To W 82nd St
26,170 02 / 36595,On E 67th St From S Paxton Ave To S Crandon Ave
27,170 02 / 36595,On S Paxton Ave From E 69th St To E 67th St
28,170 02 / 36595,On E 67th St From S Paxton Ave To S Merrill Ave
29,170 02 / 36595,On E 70th Pl From S Paxton Ave To S Oglesby Ave
30,170 02 / 36606,On S Archer Ave From S Western Ave To W 37th St
31,170 02 / 36606,On W 37th St From S Archer Ave To S Paulina St
32,170 02 / 37719,On E 102nd St From S Oglesby Ave To S Van Vlissingen Rd
33,170 02 / 37719,On W 62nd St From S Knox Ave To S Cicero Ave
34,170 02 / 37719,On W 65th St From S Kedzie Ave To S Whipple St
35,170 02 / 37719,On W 66th St From S Western Ave To S Bell Ave
36,170 02 / 37719,On W 81st St From S May St To S Throop St
37,170 02 / 37719,On W 93rd St From S Perry Ave To S Lafayette Ave
38,170 02 / 37719,On W Balmoral Ave From N Neenah Ave To N Nagle Ave
39,170 02 / 37719,On W Granville Ave From N Hamlin Ave To N Ridgeway Ave
40,170 02 / 37719,E 109th St And S Indiana Ave
