,Project_#,Project_Title,Start_Date,End_Date
0,[170 -02] 3204,"CALUMET #4D, PHASE II, 130TH-TORRENCE TO BRANDON",Jun-18,Dec-19
1,[170 -02] 38307,2017 Ancillary Sewer Construction,Jan-17,Aug-18
2,[170 -02] 38309,2017 In -House Construction,Jan-17,Jul-18
4,[170 -02] 38310,2017 In House Restoration,Jan-17,Aug-18
5,[170 -02] 39007,2018 Ancillary Sewer Construction,Jan-18,Dec-18
6,[170 -02] 39020,2018 CDOT - DEO,Jan-18,Dec-18
7,[170 -02] 39021,2018 CDOT - Materials QA,Jan-18,Dec-18
8,[170 -02] 39022,2018 - Sewer Construction Management,Jan-18,Dec-18
9,[170 -02] 39023,2018 - Design Consultants,Jan-18,Dec-18
10,[170 -02] 39025,2018 - In-House Construction Restoration,Jan-18,Dec-18
11,[170 -02] 39026,2018 Costs for PMO (CTR),Jan-18,Dec-18
12,[170 -02] 39030,2018 - Sewer Modeling,Jan-18,Dec-18
13,[170 -02] 39031,2018 - Sewer Structure Rehabilitation,Jan-18,Dec-18
14,[170 -02] 39036,2018 - Sewer Main Construction - In-House,Jan-18,Dec-18
15,[170 -02] 39561,96th - S. Houston to Marquette,Feb-20,Jun-20
16,[170 -02] 39567,Pratt/Oshkosh/Northwest Hwy/Ozark,Feb-20,Apr-20
17,[170 -02] 39568,Normal Avenue,Apr-21,Oct-21
18,[170 -02] 39570,E. 114th St/114th Pl./S. Forest Av.,Feb-20,Jun-20
19,[170 -02] 39575,W. Lawrence Av. - N. Cicero Ave. to N. Cicero Ave.,Mar-20,Aug-20
20,[170 -02] 39578,2019 In-House Construction,Jan-19,Dec-19
21,[170 -02] 39722,2019 Ancillary Sewer Construction,Jan-19,Dec-19
22,[170 -02] 39723,2019 In House Restoration,Jan-19,Dec-19
23,[170 -02] 39734,2019 Sewer Construction Management,Jan-19,Dec-19
24,[170 -02] 39736,2019 Design Services,Jan-19,Dec-19
25,[170 -02] 39737,2019 Sewer Modeling,Jan-19,Dec-19
26,[170 -02] 39738,2019 DWM PMO  Services,Jan-19,Dec-19
27,[170 -02] 39740,2019 CDOT - QA,Dec-19,Dec-19
28,[170 -02] 39745,2019 CDOT - DEO,Jan-19,Dec-19
29,[170 -02] 40110,2020 In-House Construction,Jan-20,Dec-20
30,[170 -02] 40123,Lotus/Chicago/Ohio/Race/Leamington/Leclaire/L,Mar-18,Dec-18
31,[170 -02] 40128,W. Gunnison St./W. Argyle St.,Jan-20,Dec-20
32,[170 -02] 40131,Jackson/ Troy/Fifth  Ave. Sewer Improvement,Jan-20,Dec-20
33,[170 -02] 40133,Ravenswood /Berwyn/ Paulina Sewer Improvement,Jan-19,Dec-19
34,[170 -02] 40141,N. Central Park / Lawndale Sewer Improvements,Mar-19,Sep-19
35,[170 -02] 40376,2020 Ancillary Sewer Construction,Jan-20,Dec-20
36,[170 -02] 40377,2020 In-House Restoration,Jan-20,Dec-20
37,[170 -02] 40378,2020 In-House Capitalized Labor/Equip.,Jan-20,Dec-20
38,[170 -02] 40382,2020 Construction Management,Jan-20,Dec-20
39,[170 -02] 40383,2020 Design Services,Jan-20,Dec-20
40,[170 -02] 40384,2020 Sewer Modeling,Jan-20,Dec-20
41,[170 -02] 40385,2020 DWM PMO Services,Jan-20,Dec-20
42,[170 -02] 40386,2020 CDOT - DEO,Jan-20,Dec-20
43,[170 -02] 40389,2020 CDOT - QA,Jan-20,Dec-20
44,[170 -02] 40391,2019-2020 Regional Solution Sewer Projects,Jan-20,Dec-20
45,[170 -02] 40413,2018-2022Regional Solution - Area 4,Jul-18,Dec-22
46,[170 -02] 40455,2018 In-House Capitalized Equipment,Jan-18,Dec-18
47,[170 -02] 40456,2019 In-House Capitalized Labor/Equip.,Jan-19,Dec-19
48,[170 -02] 40461,Additional PC Projects 2019-2021,Jan-19,Dec-21
49,[170 -02] 40462,2018 WPA Streets/Green Initiatives,Jul-18,Dec-18
50,[170 -02] 40566,Chicago Public Schools - Space to Grow Projects,Jan-16,Dec-21
51,[170 -02] 40700,P-2017-01 Sewer Main Replacement Project Various Locations,Mar-17,Dec-18
