,Project_#,Project_Title,Start_Date,End_Date
52,[170 -02] 40717,P-2017-03 Sewer Main Replacement Project Various Locations,Mar-17,Aug-18
53,[170 -02] 40718,P-2017-02 Sewer Main Replacement Project Various Locations,Apr-17,Oct-18
54,[170 -02] 40773,P-2017-04 Sewer Improvement Project Various Locations,Jan-18,Dec-18
55,[170 -02] 40774,P-2017-05 Sewer Improvement Project Various Locations,Jan-18,Dec-18
56,[170 -02] 40775,P-2017-06 Sewer Improvement Project Various Locations,Jan-18,Dec-18
57,[170 -02] 40776,P-2017-10 Sewer Main Replacement Project Various Locations,Apr-17,Jun-18
58,[170 -02] 40777,P-2017-11 Sewer Main Replacement Project Various Locations,Apr-17,Jun-18
59,[170 -02] 40778,P-2017-07 Sewer Improvement Project Various Locations,Jan-18,Dec-18
60,[170 -02] 40779,P-2017-08 Sewer Improvement Project Various Locations,Jan-18,Dec-18
61,[170 -02] 40780,P-2017-09 Sewer Improvement Project Various Locations,Jun-18,Jun-19
62,[170 -02] 40912,2021 Ancillary Sewer Construction,Jan-21,Dec-21
63,[170 -02] 40913,2021 - In-House Construction Restoration,Jan-21,Dec-21
64,[170 -02] 40914,2021 In-House Capitalized Labor/Equip.,Jan-21,Dec-21
65,[170 -02] 40915,2021 - Sewer Main Construction In-House,Jan-21,Dec-21
66,[170 -02] 40917,2021 - Sewer Construction Management,Jan-21,Dec-21
67,[170 -02] 40918,2021 - Design Consultants,Jan-21,Dec-21
68,[170 -02] 40919,2021 - Sewer Modeling,Jan-21,Dec-21
69,[170 -02] 40920,2021 Costs for PMO (CTR),Jan-21,Dec-21
70,[170 -02] 40921,2021 CDOT - DEO,Jan-21,Dec-21
71,[170 -02] 40922,2021 - CDOT - QA,Jan-21,Dec-21
72,[170 -02] 41000,85th & St. Lawrence,Feb-19,Jul-19
73,[170 -02] 41001,71st/Jeffery,Jan-19,Jun-19
74,[170 -02] 41002,S. Avers / W. 72nd St./S. Hamlin,Jan-19,Dec-19
75,[170 -02] 41005,Ottawa/Waveland,May-19,Dec-19
76,[170 -02] 41300,2018 Sewer Street & Parkway Small Repair Restoration by TA,Jan-18,Dec-18
77,[170 -02] 41301,Sewer Street & Parkway Repairs by TA 2019,Jan-19,Jun-20
78,[170 -02] 41302,Sewer Street & Parkway Repairs by TA 2020,Jan-20,Jun-21
79,[170 -02] 41303,Sewer Street & Parkway Repairs by TA 2021,Jan-21,Jun-22
80,[170 -02] 41304,Sewer Street & Parkway Repairs by TA 2022,Jan-22,Jun-23
81,[170 -02] 41308,2022 Ancillary Sewer Construction,Jan-22,Jun-23
82,[170 -02] 41310,2022 - In-House Construction Restoration,Jan-22,Jun-23
83,[170 -02] 41312,2022 In-House Capitalized Labor/Equip.,Jan-22,Jun-23
84,[170 -02] 41313,2022 - Sewer Main Construction In-House,Jan-22,Jun-23
85,[170 -02] 41316,2022 - Sewer Construction Management,Jan-22,Jun-23
86,[170 -02] 41317,2022 - Design Consultants,Jan-22,Jun-22
87,[170 -02] 41318,2022 - Sewer Modeling,Jan-22,Jun-23
88,[170 -02] 41319,2022 Costs for PMO (CTR),Jan-22,Jun-23
89,[170 -02] 41320,2022 CDOT - DEO,Jan-22,Jun-23
90,[170 -02] 41321,2022 - CDOT - QA,Jan-22,Jun-23
91,[170 -02] 41322,2022 Private Drain Program,Jan-22,Jun-23
92,[170 -02] 41421,Rain Ready Chatham MWRD Pilot Program,Jan-18,Dec-18
93,[170 -02] 41422,Wilson Avenue Parking Lot Green Stormwater Infrastructure Project,Jan-18,Dec-18
