,Project_#,Project_Location
92,[170 -02] 37793,On N Ridgeway Ave From W Berteau Ave To N Elston Ave
93,[170 -02] 37793,On N Washtenaw Ave From W Berwyn Ave To W Foster Ave
94,[170 -02] 37793,On S Bishop St From W 92nd St To W 91st St
95,[170 -02] 37793,On S Colfax Ave From E 74th St To E 75th St
96,[170 -02] 37793,On S Evans Ave From E 74th St To E 75th St
97,[170 -02] 37793,On S Harding Ave From W 47th St To W 46th St
98,[170 -02] 37793,On N Olcott Ave From W Palatine Ave To W Devon Ave
99,[170 -02] 37793,2232-2400 W 116th St
100,[170 -02] 37794,On E 100th St From S Avenue N To S Ewing Ave
101,[170 -02] 37794,On W 53rd St From S Richmond St To S Kedzie Ave
102,[170 -02] 37794,On W 58th St From S Halsted St To S Carpenter St
103,[170 -02] 37794,On W 73rd St From S Whipple St To S Kedzie Ave
104,[170 -02] 37794,On W 81st Pl From S Kostner Ave To S Kenneth Ave
105,[170 -02] 37794,On W 81st St From S Kilpatrick Ave To S Keating Ave
106,[170 -02] 37794,On W Ardmore Ave From N Austin Ave To N Melvina Ave
107,[170 -02] 37794,On W Arthur Ave From N Troy St To N Albany Ave
108,[170 -02] 37794,On W Barry Ave From N Springfield Ave To N Davlin Ct
109,[170 -02] 37794,On W Carmen Ave From N Ravenswood Ave To N Paulina St
110,[170 -02] 37794,On W Jackson Blvd From S California Ave To S Francisco Ave
111,[170 -02] 37794,On W Madison St From N Waller Ave To N Mason Ave
112,[170 -02] 37794,On W Palmer St From N Cicero Ave To N Kilpatrick Ave
113,[170 -02] 37794,On W Peterson Ave From N Harlem Ave To N Oconto Ave
114,[170 -02] 37794,On W Winona St From N Ravenswood Ave To N Paulina St
115,[170 -02] 37794,N Mayfield Ave And W Madison St
116,[170 -02] 37794,S Austin Blvd And W Roosevelt Rd
117,[170 -02] 37794,S Mayfield Ave And W Roosevelt Rd
118,[170 -02] 37794,On W 18th St From S Wentworth Ave To S Clark St
119,[170 -02] 37794,On S St Louis Ave From W 81st Pl To W Columbus Ave
120,[170 -02] 37794,On S St Louis Ave From W 77th St To W 78th St
121,[170 -02] 37794,On S Scottsdale Ave From W 81st St To S Knox Ave
122,[170 -02] 37794,On E 88th St From S East End Ave To S Constance Ave
123,[170 -02] 37794,On E 99th St From S Ewing Ave To S Avenue J
124,[170 -02] 37794,On N Bernard St From W Grace St To W Irving Park Rd
125,[170 -02] 37794,On N Davlin Ct From W Barry Ave To N Milwaukee Ave
126,[170 -02] 37794,On N Leclaire Ave From W Diversey Ave To W Oakdale Ave
127,[170 -02] 37794,On N Overhill Ave From W Birchwood Ave To W Howard St
128,[170 -02] 37794,On N Troy St From W Devon Ave To W Arthur Ave
129,[170 -02] 37794,On S Aberdeen St From W 107th St To W 107th Pl
130,[170 -02] 37794,S Monitor Ave And W Roosevelt Rd
131,[170 -02] 37794,On S Carpenter St From W 64th St To W 65th St
132,[170 -02] 37794,On S Constance Ave From E 88th St To E 90th St
133,[170 -02] 37794,On S Davol St From W Monterey Ave To W Waseca Pl
134,[170 -02] 37794,On S Hamlin Blvd From W Wilcox St To W Monroe St
135,[170 -02] 37794,On S Hoyne Ave From W 71st Pl To W 73rd St
136,[170 -02] 37794,On S Kildare Ave From W Harrison St To W Flournoy St
137,[170 -02] 37794,On S Mason Ave From W Arthington St To W Roosevelt Rd
138,[170 -02] 37794,On S Princeton Ave From W 59th Pl To W 60th Pl
139,[170 -02] 37794,On S Princeton Ave From W 59th St To W 59th Pl
140,[170 -02] 37794,On S Clark St From W 18th St To W 19th St
141,[170 -02] 37794,244-300 W 60th Pl
142,[170 -02] 37794,On E 61st St From S Langley Ave To S Rhodes Ave
143,[170 -02] 37794,On W 47th St From S Paulina St To S Honore St
144,[170 -02] 37794,On W 58th Pl From S Hamlin Ave To S Central Park Ave
145,[170 -02] 37794,On W 66th St From S Pulaski Rd To S Hamlin Ave
146,[170 -02] 37794,On W 77th St From S Ashland Ave To S Laflin St
147,[170 -02] 37794,On W 81st St From S Kenneth Ave To S Kolmar Ave
148,[170 -02] 37794,On W Addison St From N Elston Ave To N Spaulding Ave
149,[170 -02] 37794,On W Arthington St From S Karlov Ave To S Keeler Ave
150,[170 -02] 37794,On W Barry Ave From N Drake Ave To N Gresham Ave
151,[170 -02] 37794,On W Carmen Ave From N Central Park Ave To N Drake Ave
152,[170 -02] 37794,On W Chase Ave From N Paulina St To N Clark St
153,[170 -02] 37794,On W Lexington St From S Kilbourn Ave To S Kolmar Ave
154,[170 -02] 37794,On W Palatine Ave From N Natoma Ave To N Newcastle Ave
155,[170 -02] 37794,On W Palmer St From N Kilpatrick Ave To N Knox Ave
156,[170 -02] 37794,On W Wilcox St From S Hamlin Blvd To S Springfield Ave
157,[170 -02] 37794,N Keating Ave And W Devon Ave
158,[170 -02] 37794,N Mcvicker Ave And W Ardmore Ave
159,[170 -02] 37794,S May St And W 107th St
160,[170 -02] 37794,On W 107th St From S Morgan St To S Racine Ave
161,[170 -02] 37794,S Menard Ave And W Roosevelt Rd
162,[170 -02] 37794,On S St Louis Ave From W 80th Pl To W 81st Pl
163,[170 -02] 37794,On S Racine Ave From W 108th St To W 110th St
164,[170 -02] 37794,On E 88th St From S Euclid Ave To S Bennett Ave
165,[170 -02] 37794,On N Bernard St From W Belmont Ave To W Barry Ave
166,[170 -02] 37794,On N Clybourn Ave From W Webster Ave To N Greenview Ave
167,[170 -02] 37794,On N Drake Ave From W Carmen Ave To W Foster Ave
168,[170 -02] 37794,On N Oconto Ave From W Peterson Ave To W Thorndale Ave
169,[170 -02] 37794,On N Springfield Ave From W Belmont Ave To W Barry Ave
170,[170 -02] 37794,On N Washtenaw Ave From W Winona St To W Argyle St
171,[170 -02] 37794,On S Ashland Ave From W 108th Pl To W 109th Pl
172,[170 -02] 37794,On S Central Park Ave From W 75th St To W 78th St
173,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave
174,[170 -02] 37794,On S Damen Ave From W 83rd St To W 82nd St
175,[170 -02] 37794,On S Hamlin Ave From W 66th St To W Marquette Rd
176,[170 -02] 37794,On S Hermitage Ave From W 47th St To W 46th St
177,[170 -02] 37794,On S Kenneth Ave From W 81st Pl To W 81st St
178,[170 -02] 37794,On S Lawndale Ave From W 64th Pl To W 66th St
179,[170 -02] 37794,On S Perry Ave From W Marquette Rd To W 68th St
180,[170 -02] 37794,On S Princeton Ave From W 59th Pl To W 60th St
181,[170 -02] 37794,On S St Louis Ave From W 75th St To W 76th St
182,[170 -02] 37794,3500-3520 N Reta Ave
183,[170 -02] 37887,On S Emerald Ave From W 75th St To W 79th St
184,[170 -02] 37887,On W 77th St From S Union Ave To S Lowe Ave
185,[170 -02] 37887,S Ashland Ave And W 108th Pl
186,[170 -02] 37887,S Karlov Ave And W 79th St
187,[170 -02] 37887,S Perry Ave And W Marquette Rd
188,[170 -02] 37887,W 52nd St And S Kedzie Ave
189,[170 -02] 37887,W 58th St And S Halsted St
190,[170 -02] 37887,W 66th St And S Pulaski Rd
191,[170 -02] 37887,W 77th St And S Emerald Ave
192,[170 -02] 37887,W Palmer St And N Cicero Ave
193,[170 -02] 37887,On S Halsted St From W 78th St To W 79th St
194,[170 -02] 37887,N Drake Ave And W Foster Ave
195,[170 -02] 37887,S Emerald Ave And W 79th St
196,[170 -02] 37887,S Kostner Ave And W 81st Pl
197,[170 -02] 37887,W 107th St And S Morgan St
198,[170 -02] 37887,W 58th Pl And S Hamlin Ave
199,[170 -02] 37887,W 65th St And S Lawndale Ave
200,[170 -02] 37887,W 73rd St And S Kedzie Ave
201,[170 -02] 37887,W Ardmore Ave And N Austin Ave
202,[170 -02] 37918,On N Keystone Ave From W Peterson Ave To W Glenlake Ave
203,[170 -02] 37918,On W Diversey Pkwy From N Sheffield Ave To N Seminary Ave
204,[170 -02] 37918,On W Byron St From N Newcastle Ave To N New England Ave
205,[170 -02] 37918,On W Barry Ave From N Osceola Ave To N Oketo Ave
206,[170 -02] 37918,On W Barry Ave From N Olcott Ave To N Osceola Ave
207,[170 -02] 37918,On W 57th St From S Spaulding Ave To S Homan Ave
208,[170 -02] 37918,N Kenmore Ave And W Diversey Pkwy
209,[170 -02] 37918,On S Kostner Ave From W 51st St To W 52nd St
210,[170 -02] 37918,On N Olcott Ave From W Palatine Ave To W Hortense Ave
211,[170 -02] 37918,On N Olcott Ave From W Devon Ave To W Isham Ave
212,[170 -02] 37918,On N Oketo Ave From W Isham Ave To N Avondale Ave
213,[170 -02] 37918,On N Nordica Ave From W Berwyn Ave To W Farragut Ave
214,[170 -02] 37918,On W 52nd St From S Kostner Ave To S Keeler Ave
215,[170 -02] 37918,On W Byron St From N Newcastle Ave To N Oak Park Ave
216,[170 -02] 37918,On W Berwyn Ave From N Nordica Ave To N Newland Ave
217,[170 -02] 37918,On W Barry Ave From N Oleander Ave To N Oriole Ave
218,[170 -02] 37918,On W Barry Ave From N Olcott Ave To N Oleander Ave
219,[170 -02] 37918,On W 57th St From S Kedzie Ave To S Spaulding Ave
220,[170 -02] 37918,On N Olcott Ave From W Hortense Ave To W Devon Ave
221,[170 -02] 37918,On N Pulaski Rd From W Glenlake Ave To W Granville Ave
222,[170 -02] 37918,On N Olcott Ave From W Belmont Ave To W Barry Ave
223,[170 -02] 37918,On N Oak Park Ave From W Byron St To W Dakin St
224,[170 -02] 37918,On N Newcastle Ave From W Grace St To W Byron St
225,[170 -02] 37918,On W Glenlake Ave From N Keystone Ave To N Pulaski Rd
226,[170 -02] 37918,On W 51st St From S Kilbourn Ave To S Kostner Ave
227,[170 -02] 37918,N Seminary Ave And W Diversey Pkwy
228,[170 -02] 38041,On N Neva Ave From W Bryn Mawr Ave To W Talcott Ave
229,[170 -02] 38041,On W Talcott Ave From N Neva Ave To N Ozanam Ave
230,[170 -02] 38041,N Harlem Ave And W Talcott Ave
231,[170 -02] 38041,On W Talcott Ave From N Harlem Ave To N Ozanam Ave
232,[170 -02] 38041,On W Talcott Ave From N Overhill Ave To N Oriole Ave
233,[170 -02] 38047,On E 93rd St From S Drexel Ave To S Ellis Ave
234,[170 -02] 38047,On S Drexel Ave From E 90th St To E 93rd St
235,[170 -02] 38056,On W 57th St From S La Salle St To S Lafayette Ave
236,[170 -02] 38056,5600-5659 S Perry Ave
237,[170 -02] 38056,5600-5659 S Lafayette Ave
238,[170 -02] 38113,On E 106th St From S Vernon Ave To S Rhodes Ave
239,[170 -02] 38113,On S Eberhart Ave From E 106th St To E 105th St
240,[170 -02] 38113,On S Rhodes Ave From E 106th St To E 105th Pl
241,[170 -02] 38113,On S Vernon Ave From E 107th St To E 106th St
242,[170 -02] 38113,On E 108th St From S Eberhart Ave To S Rhodes Ave
243,[170 -02] 38113,On S Eberhart Ave From E 107th St To E 108th St
244,[170 -02] 38113,On S Vernon Ave From E 106th St To E 105th St
245,[170 -02] 38307,On S Ada St From W 79th St To W 77th St
246,[170 -02] 38307,On W 77th St From S Loomis Blvd To S Bishop St
247,[170 -02] 38307,On W 77th St From S Ada St To S Throop St
248,[170 -02] 38382,On E Oakwood Blvd From S Langley Ave To S Vincennes Ave
249,[170 -02] 38382,On S Langley Ave From E 40th St To E Oakwood Blvd
250,[170 -02] 38383,On W 107th St From S Wood St To S Hale Ave
251,[170 -02] 38383,10600-10700 S Hale Ave
252,[170 -02] 38386,On W Montrose Ave From N Narragansett Ave To N Austin Ave
253,[170 -02] 38386,W Montrose Ave And N Mulligan Ave
254,[170 -02] 38386,W Montrose Ave And N Mobile Ave
255,[170 -02] 38390,On S Eggleston Ave From W 124th St To W 126th St
256,[170 -02] 38390,On W 125th St From S Parnell Ave To S Wentworth Ave
257,[170 -02] 38390,On W 124th St From S Parnell Ave To S Eggleston Ave
258,[170 -02] 38390,On W 125th St From S Wentworth Ave To S Harvard Ave
259,[170 -02] 38406,On S Natoma Ave From W 57th St To W 56th St
260,[170 -02] 38406,On W 56th St From S Nottingham Ave To S New England Ave
261,[170 -02] 38406,On W 56th St From S Natoma Ave To S Neva Ave
262,[170 -02] 38406,On W 57th St From S Nashville Ave To S Natoma Ave
263,[170 -02] 38407,On N Central Ave From W Berteau Ave To W Sunnyside Ave
264,[170 -02] 38407,N Central Ave And W Montrose Ave
265,[170 -02] 38407,On N Central Ave From W Berteau Ave To W Wilson Ave
266,[170 -02] 38412,On S Bishop St From W 116th St To W 118th St
267,[170 -02] 38412,On W 116th St From S Bishop St To S Ada St
268,[170 -02] 38412,On W 118th St From S Bishop St To S Justine St
269,[170 -02] 38412,On W 116th St From S Ada St To S Elizabeth St
270,[170 -02] 38412,On W 116th St From S Bishop St To S Justine St
271,[170 -02] 38784,On W 107th St From S Morgan St To S Racine Ave
272,[170 -02] 38784,S Aberdeen St And W 107th St
273,[170 -02] 38786,On N Narragansett Ave From W Roscoe St To W Addison St
274,[170 -02] 38786,W Newport Ave And N Narragansett Ave
275,[170 -02] 38786,On W Cornelia Ave From N Nagle Ave To N Narragansett Ave
276,[170 -02] 38787,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave
277,[170 -02] 38787,On N Overhill Ave From W Sherwin Ave To W Birchwood Ave
278,[170 -02] 38787,On W Jarvis Ave From N Ottawa Ave To N Overhill Ave
279,[170 -02] 38787,On N Ottawa Ave From W Jarvis Ave To W Chase Ave
280,[170 -02] 38787,On W Jarvis Ave From N Oriole Ave To N Ottawa Ave
281,[170 -02] 38787,N Oriole Ave And W Birchwood Ave
282,[170 -02] 38788,On S Karlov Ave From W 62nd St To W 61st St
283,[170 -02] 38788,On W 61st St From S Karlov Ave To S Komensky Ave
284,[170 -02] 38788,On W 62nd St From S Keeler Ave To S Kildare Ave
285,[170 -02] 38788,On W 62nd St From S Komensky Ave To S Karlov Ave
286,[170 -02] 38788,On W 61st St From S Karlov Ave To S Kedvale Ave
287,[170 -02] 38788,On W 62nd St From S Karlov Ave To S Keeler Ave
288,[170 -02] 38788,On W 62nd St From S Kildare Ave To S Kostner Ave
289,[170 -02] 38788,On W 62nd St From S Pulaski Rd To S Komensky Ave
290,[170 -02] 38789,On W 53rd St From S Hamlin Ave To S Millard Ave
291,[170 -02] 38789,On W 53rd St From S Springfield Ave To S Hamlin Ave
292,[170 -02] 38789,On W 53rd St From S Pulaski Rd To S Springfield Ave
293,[170 -02] 38790,On N Mobile Ave From W Bloomingdale Ave To W Cortland St
294,[170 -02] 38790,On W Cortland St From N Mobile Ave To N Mulligan Ave
295,[170 -02] 38790,On N Mobile Ave From W Bloomingdale Ave To W Wabansia Ave
296,[170 -02] 38790,On W Wabansia Ave From N Mobile Ave To N Narragansett Ave
297,[170 -02] 38791,On W 60th St From S Mobile Ave To S Merrimac Ave
298,[170 -02] 38791,On W 60th St From S Nagle Ave To S Narragansett Ave
299,[170 -02] 38791,On W 60th St From S Natchez Ave To S Nagle Ave
300,[170 -02] 38791,On W 60th St From S Normandy Ave To S Natoma Ave
301,[170 -02] 38791,6434-6534 W 60th St
302,[170 -02] 38791,On W 60th St From S Mulligan Ave To S Mobile Ave
303,[170 -02] 38791,On W 60th St From S Narragansett Ave To S Mulligan Ave
304,[170 -02] 38791,On W 60th St From S Natoma Ave To S Nashville Ave
305,[170 -02] 38791,On W 60th St From S Rutherford Ave To S Normandy Ave
306,[170 -02] 38791,6534-6600 W 60th St
307,[170 -02] 38792,On S Aberdeen St From W 105th St To W 104th Pl
308,[170 -02] 38792,On W 105th St From S Morgan St To S Sangamon St
309,[170 -02] 38792,S Aberdeen St And W 103rd St
310,[170 -02] 38792,On W 105th St From S Green St To S Halsted St
311,[170 -02] 38792,On W 105th St From S Sangamon St To S Green St
312,[170 -02] 38794,On W 100th St From S Normal Ave To S Emerald Ave
313,[170 -02] 38794,On W 101st St From S Morgan St To S Green St
314,[170 -02] 38795,On S Calumet Ave From E 87th St To E 89th St
315,[170 -02] 38795,S Calumet Ave And E 89th St
316,[170 -02] 38795,On S Eberhart Ave From E 87th St To E 89th St
