,Project_#,Project_Title,Start_Date,End_Date
0,[170 -06] 38311,2017 Cleaning & Televising Program,Jan-17,Aug-19
1,[170 -06] 38312,2017 Sewer Structure Rehabilitation Program,Jan-17,Jul-19
2,[170 -06] 39027,2018 - Private Drain Program,Jan-18,Jun-19
3,[170 -06] 39028,2018 - Sewer Main Cleaning & TV'ing,Jan-18,Jun-19
4,[170 -06] 39501,Design/Build CSO/MS4 Rehabilitation,Jan-15,Dec-19
5,[170 -06] 39728,2019 Sewer Structure Rehabilitation,Jan-19,Apr-20
6,[170 -06] 39741,2019 Private Drain Program,Jan-19,Mar-20
7,[170 -06] 39744,2019 Sewer Main Cleaning & Televising,Jan-19,Mar-20
8,[170 -06] 40381,2020 Sewer Structure Rehabilitation,Jan-20,Dec-20
9,[170 -06] 40390,2020 Private Drain Repair,Jan-20,Dec-20
10,[170 -06] 40396,2020 Sewer Main Cleaning & Televising,Jan-20,Dec-20
11,[170 -06] 40916,2021 - Sewer Structure Rehabilitation,Jan-21,Dec-21
12,[170 -06] 40923,2021 Private Drain Program,Jan-21,Dec-21
13,[170 -06] 40924,2021 Sewer Main Cleaning & Televising,Jan-21,Dec-21
14,[170 -06] 41315,2022 - Sewer Structure Rehabilitation,Jan-22,Jun-23
15,[170 -06] 41331,2022 Sewer Main Cleaning & Televising,Jan-22,Dec-22
16,[170 -06] 41999,2023 - Sewer Structure Rehabilitation,Jan-23,Jun-24
17,[170 -06] 42007,2023 Sewer Main Cleaning & Televising,Jan-23,Jun-24
